
Intensity Mean
 ==================== 
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,1000000054,1000000055,1000000056,1000000057,1000000058,1000000059,1000000060,1000000061,1000000062,1000000063,1000000064,1000000065,1000000066,1000000067,
0,33.876,78.758,12.055,69.960,31.121,12.454,91.785,66.780,21.014,98.229,55.999,48.079,49.126,103.088,71.261,33.981,76.147,21.634,21.316,70.793,62.726,39.008,14.870,16.727,71.710,48.323,51.633,12.046,25.796,44.956,24.698,72.721,38.612,87.049,14.200,27.433,10.245,10.348,33.994,61.553,43.875,32.960,96.664,20.518,42.059,13.010,62.054,21.525,16.427,20.186,93.924,74.956,14.431,92.754,57.575,31.307,97.538,21.281,19.370,6.989,28.331,59.838,25.506,65.259,82.068,36.242,33.169,48.296,
1000,29.114,80.563,9.031,61.683,22.418,15.969,89.043,62.319,21.025,103.644,55.050,47.905,49.701,106.264,73.128,33.828,79.924,20.608,21.814,71.353,66.046,34.425,19.548,14.793,73.058,49.401,51.679,13.056,19.886,49.380,23.805,69.079,34.049,92.054,16.983,28.108,10.431,13.874,26.525,56.335,38.934,39.522,100.142,16.392,45.573,15.192,57.394,21.348,16.040,23.385,93.063,62.377,16.758,89.284,57.501,23.436,97.030,19.987,18.424,35.674,48.965,33.490,24.244,63.859,76.806,33.341,27.703,44.753,
2000,30.537,78.579,8.028,67.331,17.927,17.110,88.281,63.888,19.662,104.047,56.016,48.746,49.511,105.489,70.532,34.370,73.551,22.455,22.988,71.299,68.540,46.497,24.373,12.991,73.781,52.756,51.972,10.234,23.601,52.182,21.095,72.836,36.321,92.408,18.786,27.540,10.008,13.037,23.319,53.261,39.277,72.748,90.967,18.717,43.416,14.069,60.917,22.788,20.061,19.885,104.100,67.334,14.195,89.583,54.230,32.777,102.553,19.166,17.958,32.656,79.519,47.665,42.128,66.769,69.825,34.222,16.435,43.650,
4000,47.584,79.444,9.876,56.719,23.980,15.706,90.091,64.582,20.951,100.555,49.626,48.322,48.028,105.088,78.716,32.639,79.502,22.157,19.121,65.486,65.652,47.541,29.564,12.457,47.898,52.261,51.436,13.393,29.064,48.811,21.410,58.666,35.543,91.175,15.283,28.018,9.542,12.459,37.277,48.158,39.705,69.563,90.262,17.493,41.696,12.365,66.674,20.732,17.688,18.516,91.884,74.310,14.604,94.603,40.181,31.274,97.138,19.192,18.593,31.730,79.286,53.211,64.931,62.514,108.090,26.068,49.943,15.991,
5000,35.875,77.812,8.903,61.529,25.433,16.369,104.904,60.707,20.627,101.444,53.977,46.035,50.521,107.833,75.608,32.458,81.110,22.762,19.082,68.770,63.817,47.503,35.882,14.170,79.487,55.565,54.419,12.966,19.570,56.448,23.010,71.666,32.419,92.343,15.274,29.318,9.961,15.906,21.934,47.179,41.595,63.495,98.099,18.855,41.057,12.666,54.812,22.182,16.521,20.675,87.553,64.277,21.440,91.361,27.973,32.132,103.414,19.560,20.245,29.355,71.525,52.914,66.731,63.407,82.648,29.042,21.733,44.199,
6000,31.484,88.102,10.817,59.032,25.058,16.131,97.506,63.925,20.727,101.071,53.641,44.470,50.931,108.464,78.921,33.163,78.553,20.599,17.520,68.785,64.797,49.932,43.458,14.788,74.104,49.561,51.639,12.467,19.408,55.531,24.020,69.406,28.947,92.831,16.072,30.438,11.771,13.310,24.782,52.124,42.558,53.711,93.020,9.026,43.384,11.757,62.439,22.246,17.047,19.162,95.584,73.002,11.686,89.163,27.727,30.627,100.798,19.242,18.934,31.622,73.470,60.343,54.057,61.215,99.516,34.058,31.803,47.228,
7000,30.268,82.561,12.404,60.300,24.568,15.268,96.802,58.452,21.262,103.959,57.653,46.655,48.608,104.035,79.257,32.479,78.014,21.176,15.486,65.090,59.354,50.218,43.932,14.580,70.391,50.569,51.026,12.961,22.615,53.749,18.821,65.517,28.266,89.658,15.416,29.177,11.047,14.438,22.061,53.038,38.605,65.512,102.430,13.581,37.029,12.534,58.667,19.307,14.850,18.583,97.535,73.791,16.690,95.282,23.390,29.727,89.925,18.502,18.835,30.187,72.593,54.752,53.686,61.108,115.363,31.897,19.266,42.647,
8000,35.958,81.330,11.720,67.202,24.569,14.970,105.973,60.884,22.368,102.906,48.533,46.452,50.044,104.896,82.011,34.301,74.269,21.055,17.538,70.599,63.975,47.975,42.698,16.335,73.527,50.629,51.146,13.167,18.097,58.306,25.962,70.865,29.882,91.313,12.855,29.421,10.715,16.459,21.287,63.703,38.634,71.442,101.069,13.841,40.662,12.825,57.706,16.838,17.577,19.445,104.032,79.422,14.182,93.832,36.394,30.282,95.416,18.955,19.839,31.076,78.153,62.165,52.219,65.257,91.673,44.579,17.555,52.497,
10000,39.533,87.901,11.180,61.188,24.680,15.776,108.210,58.372,22.632,108.153,50.395,45.662,49.402,107.521,77.249,34.471,83.764,19.680,18.778,70.624,62.722,49.253,40.140,16.023,75.642,49.307,50.682,11.926,25.199,61.109,18.345,68.597,28.121,101.639,14.636,29.091,10.306,15.318,23.130,66.205,39.307,83.330,98.943,11.879,41.440,11.821,53.764,17.708,15.120,16.509,101.180,75.842,15.985,93.909,43.518,25.970,101.056,19.487,19.553,32.818,82.848,55.043,63.029,61.200,118.247,38.074,16.722,44.774,
