Detailed,,,,,,,,
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
4.48,301.01,5.97,um,Spot,Position,1,1000000000,0
20.23,288.89,19.36,um,Spot,Position,1,1000000001,1
24.30,133.64,18.90,um,Spot,Position,1,1000000002,2
28.59,152.73,15.19,um,Spot,Position,1,1000000003,3
48.09,189.43,1.34,um,Spot,Position,1,1000000004,4
101.18,97.14,20.45,um,Spot,Position,1,1000000005,5
122.11,157.96,11.59,um,Spot,Position,1,1000000006,6
138.28,57.93,23.95,um,Spot,Position,1,1000000007,7
147.07,69.15,15.01,um,Spot,Position,1,1000000008,8
146.95,219.34,9.13,um,Spot,Position,1,1000000009,9
165.21,27.24,24.58,um,Spot,Position,1,1000000010,10
182.45,104.45,14.11,um,Spot,Position,1,1000000011,11
183.23,219.32,0.35,um,Spot,Position,1,1000000012,12
192.15,91.99,0.35,um,Spot,Position,1,1000000013,13
199.85,63.14,2.14,um,Spot,Position,1,1000000014,14
199.64,213.05,6.96,um,Spot,Position,1,1000000015,15
222.73,54.23,0.35,um,Spot,Position,1,1000000016,16
237.54,218.11,22.44,um,Spot,Position,1,1000000017,17
242.26,190.23,18.40,um,Spot,Position,1,1000000018,18
291.86,151.69,28.47,um,Spot,Position,1,1000000019,19
310.97,53.61,10.92,um,Spot,Position,1,1000000020,20
65.88,306.17,12.80,um,Spot,Position,1,1000000021,1259
151.49,139.91,13.49,um,Spot,Position,1,1000000022,2889
218.48,76.26,12.80,um,Spot,Position,1,1000000023,1123
46.43,321.49,22.49,um,Spot,Position,1,1000000024,1241
49.58,126.12,25.95,um,Spot,Position,1,1000000025,1224
78.33,126.99,13.49,um,Spot,Position,1,1000000026,1239
153.88,263.74,10.03,um,Spot,Position,1,1000000027,1766
102.33,90.60,28.02,um,Spot,Position,1,1000000028,2057
186.77,174.89,12.11,um,Spot,Position,1,1000000029,1107
228.90,222.44,9.56,um,Spot,Position,1,1000000030,1144
229.61,100.45,7.26,um,Spot,Position,1,1000000031,1288
238.00,218.29,11.96,um,Spot,Position,1,1000000032,1148
248.64,129.13,12.11,um,Spot,Position,1,1000000033,1118
56.41,167.75,9.34,um,Spot,Position,1,1000000034,1283
64.89,162.25,17.63,um,Spot,Position,1,1000000035,1135
114.98,269.36,9.34,um,Spot,Position,1,1000000036,1768
142.92,174.16,5.19,um,Spot,Position,1,1000000037,1210
181.12,148.71,7.26,um,Spot,Position,1,1000000038,1101
93.65,160.01,16.26,um,Spot,Position,1,1000000039,2823
285.61,141.12,0.35,um,Spot,Position,1,1000000040,1453
323.45,104.09,0.35,um,Spot,Position,1,1000000041,2747
286.52,38.18,22.49,um,Spot,Position,1,1000000042,2734
41.27,149.22,23.87,um,Spot,Position,1,1000000043,1262
170.46,228.76,19.03,um,Spot,Position,1,1000000044,2258
181.74,223.12,26.64,um,Spot,Position,1,1000000045,2410
250.31,40.49,12.11,um,Spot,Position,1,1000000046,1292
269.85,73.50,26.64,um,Spot,Position,1,1000000047,1326
288.88,155.38,3.81,um,Spot,Position,1,1000000048,1360
298.53,109.70,20.41,um,Spot,Position,1,1000000049,1422
286.36,148.98,5.88,um,Spot,Position,1,1000000050,1455
205.03,166.31,22.49,um,Spot,Position,1,1000000051,1489
185.29,30.97,10.72,um,Spot,Position,1,1000000052,1523
181.90,38.66,9.34,um,Spot,Position,1,1000000053,1557
174.97,88.51,3.81,um,Spot,Position,1,1000000054,1591
113.72,103.24,8.65,um,Spot,Position,1,1000000055,1648
179.22,281.45,23.87,um,Spot,Position,1,1000000056,1698
121.44,295.73,14.88,um,Spot,Position,1,1000000057,1732
83.59,281.05,4.50,um,Spot,Position,1,1000000058,1773
88.71,271.91,20.41,um,Spot,Position,1,1000000059,1807
158.06,136.18,2.42,um,Spot,Position,1,1000000060,1848
119.12,148.96,1.04,um,Spot,Position,1,1000000061,1882
