
Intensity Mean
 ==================== 
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,1000000054,1000000055,1000000056,1000000057,1000000058,1000000059,1000000060,1000000061,1000000062,1000000063,1000000064,1000000065,1000000066,1000000067,1000000068,1000000069,1000000070,1000000071,1000000072,1000000073,1000000074,1000000075,1000000076,1000000077,1000000078,1000000079,1000000080,1000000081,1000000082,1000000083,1000000084,1000000085,1000000086,1000000087,1000000088,1000000089,1000000090,1000000091,1000000092,1000000093,
0,214.391,157.497,238.829,195.359,174.708,179.823,235.192,508.737,172.146,142.773,138.296,130.428,168.165,140.271,201.955,175.332,252.719,151.347,190.646,163.854,128.830,196.058,152.749,140.437,182.864,210.932,136.750,155.790,322.769,126.627,217.267,282.480,134.281,121.848,145.322,133.873,258.539,232.185,169.954,196.240,114.748,203.588,176.260,158.673,415.734,407.681,127.858,235.550,292.089,297.519,164.187,406.869,460.015,144.508,156.823,175.907,255.123,229.152,197.654,189.546,158.575,193.217,174.265,165.204,157.323,142.077,328.898,351.332,207.869,149.190,159.187,161.437,154.982,182.833,143.225,134.133,152.088,177.096,166.859,146.533,201.167,202.320,149.102,148.148,159.276,141.444,158.447,142.984,230.344,348.450,366.796,727.906,215.081,125.846,
1000,358.245,174.057,235.836,254.256,220.356,189.474,239.228,550.333,171.860,168.313,166.632,128.587,187.579,159.730,223.107,179.422,314.544,171.197,194.052,194.926,147.619,207.566,157.595,161.615,634.543,684.326,132.129,233.883,369.405,132.322,525.668,953.200,129.752,125.439,236.272,144.573,255.432,392.195,192.908,235.666,122.650,206.002,675.300,167.405,491.582,732.711,140.042,412.812,291.646,521.872,226.890,498.161,1045.728,161.194,157.752,158.304,389.015,381.276,231.881,173.998,149.394,340.176,350.457,175.712,208.630,154.805,621.656,419.052,263.718,145.286,191.730,179.303,199.090,158.569,157.496,177.267,171.342,174.624,176.260,143.366,193.360,216.732,164.586,152.765,157.855,149.192,150.667,181.762,234.505,355.436,590.764,712.814,225.467,122.191,
2000,1328.170,602.653,694.369,1023.471,934.906,326.072,676.132,742.945,382.532,291.283,633.091,287.387,527.932,317.706,827.473,506.306,1009.837,628.256,832.048,506.681,257.244,468.288,204.562,328.268,1764.971,946.259,202.744,679.290,1342.040,261.899,1433.429,1570.683,252.973,173.523,508.482,243.033,731.658,1192.966,631.374,820.128,174.068,622.030,962.507,281.913,1267.526,1676.728,226.808,1478.171,495.456,1299.889,447.343,1680.696,1583.112,194.707,378.874,182.314,1610.110,1609.762,933.380,365.703,159.769,1209.332,983.547,346.340,532.531,500.153,2142.522,696.980,1052.465,280.149,396.385,393.899,421.997,497.132,331.961,391.706,630.352,353.842,592.296,246.234,662.150,720.899,368.573,343.854,193.027,162.222,283.779,553.327,457.344,824.598,789.714,777.424,453.818,185.302,
3000,1173.538,877.658,898.421,1380.833,1210.749,768.934,1323.331,944.383,690.053,447.368,806.647,431.030,660.786,400.843,1502.164,1258.704,1264.869,705.039,990.801,730.174,245.951,962.966,409.371,219.693,1604.898,916.367,321.275,830.423,1499.207,318.536,1276.967,641.220,425.042,197.079,566.671,248.530,1475.614,1197.962,702.896,1279.157,272.333,1370.823,621.415,658.591,1470.951,1419.004,218.137,1598.123,952.297,1477.253,599.598,1164.631,1451.608,512.068,288.224,327.672,1421.730,1286.560,569.848,761.961,221.733,924.003,522.711,772.344,532.843,799.770,1901.631,417.144,978.663,600.403,693.461,491.251,524.198,663.597,491.240,502.387,829.828,1173.236,928.632,452.508,882.539,734.316,848.665,668.991,361.235,269.321,287.817,527.361,685.589,833.505,762.677,748.524,789.089,309.475,
4000,714.940,618.772,574.078,973.228,1031.049,779.117,1229.240,1015.748,587.775,357.053,736.290,403.007,593.031,360.291,1033.695,1217.806,842.091,474.292,574.433,807.865,175.504,913.752,444.104,165.797,625.518,395.718,223.239,563.796,980.709,222.586,945.122,748.742,394.543,157.871,390.697,213.420,1354.107,1055.008,475.416,942.731,190.164,1132.334,443.202,526.408,1189.107,928.766,150.539,990.780,894.799,950.116,507.364,902.771,879.880,559.694,215.389,244.672,1121.231,698.760,458.271,366.759,248.215,559.643,410.570,419.984,340.723,680.353,1856.907,417.251,777.097,445.995,620.179,386.758,623.571,614.281,401.552,211.422,495.305,1012.971,588.844,349.775,699.684,555.208,666.864,247.750,316.508,242.373,473.170,381.011,519.256,574.082,718.757,711.392,653.155,303.195,
5000,397.983,285.534,515.377,508.338,495.925,477.970,872.654,910.652,357.573,252.390,339.921,213.913,308.746,220.281,590.212,804.141,502.693,258.900,303.787,407.521,181.512,551.061,268.968,157.544,287.877,286.589,192.968,284.576,550.018,145.079,606.237,619.830,209.963,131.804,196.063,147.268,737.750,555.804,241.193,521.701,146.984,489.358,198.978,366.917,965.808,664.370,139.745,606.760,707.388,717.745,345.697,455.442,631.248,464.122,172.485,342.042,768.374,356.461,244.641,272.676,213.597,246.195,373.098,275.564,210.089,263.414,956.545,349.007,485.993,401.427,367.624,392.954,466.155,399.811,196.645,145.899,294.146,523.479,214.668,232.217,371.705,248.464,479.028,174.705,208.144,175.766,299.773,250.663,452.404,478.847,563.792,644.629,361.917,307.627,
6000,312.146,189.049,299.914,291.867,281.525,319.581,435.493,730.487,205.504,197.589,173.983,150.511,229.287,161.495,301.750,422.573,308.176,175.226,217.535,249.332,141.736,320.653,182.225,146.699,192.141,242.556,142.847,209.028,395.566,133.685,306.437,185.981,264.182,126.300,157.584,131.326,383.579,354.989,183.213,312.126,126.841,295.746,240.011,204.544,666.003,576.661,125.108,400.044,414.921,458.109,233.804,324.340,495.325,263.680,164.424,386.267,381.858,246.589,231.526,255.573,157.361,232.245,261.719,173.562,181.350,452.687,431.727,251.120,334.545,245.886,239.606,349.915,315.326,325.602,153.140,139.675,206.514,278.757,183.789,172.956,233.142,214.949,242.785,152.044,164.067,164.695,169.776,204.683,452.078,403.198,390.759,675.472,280.203,138.041,
7000,296.328,188.765,286.345,223.333,224.967,231.051,300.742,632.274,181.695,159.361,148.405,133.743,199.325,151.191,253.122,290.372,298.025,165.139,186.697,166.018,133.467,225.888,166.314,153.352,156.523,241.904,137.675,173.071,300.616,128.792,251.293,260.628,160.023,127.345,146.834,132.188,309.427,206.355,168.889,307.953,123.906,247.226,273.238,164.480,503.078,534.010,129.109,297.280,335.363,381.697,173.499,317.214,436.451,156.651,154.774,317.085,253.478,244.744,197.664,210.877,154.173,193.869,204.013,143.277,218.191,266.215,291.284,214.069,259.321,169.293,167.649,232.924,267.676,339.968,148.792,140.464,165.310,237.184,173.528,150.221,240.112,192.085,175.308,145.635,154.179,150.434,154.278,186.992,326.253,307.764,336.331,623.412,232.675,126.075,
8000,261.073,182.756,246.996,195.790,221.379,195.610,279.590,593.537,205.899,159.720,142.626,136.217,183.860,143.249,212.498,236.817,297.486,152.975,175.508,160.077,136.822,211.803,141.665,145.385,142.128,219.625,128.205,178.674,294.820,129.902,233.117,151.454,144.044,121.468,142.918,124.846,253.210,235.593,168.332,266.971,126.987,212.981,250.526,178.826,470.523,272.182,133.529,264.871,315.073,344.413,162.382,288.747,438.825,176.442,171.291,334.142,303.644,242.901,246.113,186.021,160.285,211.733,173.103,148.718,196.548,259.126,292.905,207.435,253.759,234.294,151.665,233.644,266.774,232.807,146.755,130.214,182.287,188.789,174.791,146.091,206.384,213.097,172.494,149.324,162.298,149.108,164.329,152.523,302.642,317.985,312.922,632.498,270.018,124.183,
