
Intensity Mean
 ==================== 
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,1000000054,1000000055,1000000056,1000000057,1000000058,1000000059,1000000060,1000000061,1000000062,1000000063,1000000064,1000000065,1000000066,1000000067,1000000068,1000000069,1000000070,1000000071,1000000072,1000000073,1000000074,1000000075,1000000076,1000000077,1000000078,1000000079,1000000080,1000000081,1000000082,1000000083,1000000084,1000000085,1000000086,1000000087,1000000088,1000000089,1000000090,1000000091,1000000092,1000000093,1000000094,1000000095,1000000096,1000000097,1000000098,1000000099,1000000100,1000000101,1000000102,1000000103,1000000104,1000000105,1000000106,1000000107,1000000108,1000000109,1000000110,1000000111,1000000112,1000000113,1000000114,1000000115,1000000116,1000000117,1000000118,1000000119,1000000120,1000000121,1000000122,1000000123,1000000124,1000000125,1000000126,1000000127,1000000128,1000000129,1000000130,1000000131,1000000132,1000000133,1000000134,1000000135,1000000136,1000000137,1000000138,1000000139,1000000140,1000000141,1000000142,1000000143,1000000144,1000000145,1000000146,1000000147,1000000148,1000000149,1000000150,1000000151,1000000152,1000000153,1000000154,1000000155,1000000156,1000000157,1000000158,1000000159,1000000160,1000000161,1000000162,1000000163,1000000164,1000000165,1000000166,1000000167,1000000168,1000000169,1000000170,1000000171,1000000172,1000000173,1000000174,1000000175,1000000176,1000000177,1000000178,1000000179,1000000180,1000000181,1000000182,1000000183,1000000184,1000000185,1000000186,1000000187,1000000188,1000000189,1000000190,1000000191,1000000192,1000000193,1000000194,1000000195,1000000196,1000000197,1000000198,1000000199,1000000200,1000000201,1000000202,1000000203,1000000204,1000000205,1000000206,1000000207,1000000208,1000000209,1000000210,1000000211,1000000212,1000000213,1000000214,1000000215,1000000216,1000000217,1000000218,1000000219,1000000220,1000000221,1000000222,1000000223,1000000224,1000000225,1000000226,1000000227,1000000228,1000000229,1000000230,1000000231,1000000232,1000000233,1000000234,1000000235,1000000236,1000000237,1000000238,1000000239,1000000240,1000000241,1000000242,1000000243,1000000244,1000000245,1000000246,1000000247,1000000248,1000000249,1000000250,1000000251,1000000252,1000000253,1000000254,1000000255,1000000256,1000000257,1000000258,1000000259,1000000260,1000000261,1000000262,1000000263,1000000264,1000000265,1000000266,1000000267,1000000268,1000000269,1000000270,1000000271,1000000272,1000000273,1000000274,1000000275,1000000276,1000000277,1000000278,1000000279,1000000280,1000000281,1000000282,1000000283,1000000284,1000000285,1000000286,1000000287,1000000288,1000000289,1000000290,1000000291,1000000292,1000000293,1000000294,1000000295,1000000296,1000000297,1000000298,1000000299,1000000300,1000000301,1000000302,1000000303,1000000304,1000000305,1000000306,1000000307,1000000308,1000000309,1000000310,1000000311,1000000312,1000000313,1000000314,1000000315,1000000316,1000000317,1000000318,1000000319,1000000320,1000000321,1000000322,1000000323,1000000324,1000000325,1000000326,1000000327,1000000328,1000000329,1000000330,1000000331,1000000332,1000000333,1000000334,1000000335,1000000336,1000000337,1000000338,1000000339,1000000340,1000000341,1000000342,1000000343,1000000344,1000000345,1000000346,1000000347,1000000348,1000000349,1000000350,1000000351,1000000352,1000000353,1000000354,1000000355,1000000356,1000000357,1000000358,1000000359,1000000360,1000000361,1000000362,1000000363,1000000364,1000000365,1000000366,1000000367,1000000368,1000000369,1000000370,1000000371,1000000372,1000000373,1000000374,1000000375,1000000376,1000000377,1000000378,1000000379,1000000380,1000000381,1000000382,1000000383,1000000384,1000000385,1000000386,1000000387,1000000388,1000000389,1000000390,1000000391,1000000392,1000000393,1000000394,1000000395,1000000396,1000000397,1000000398,1000000399,1000000400,1000000401,1000000402,1000000403,1000000404,1000000405,1000000406,1000000407,1000000408,1000000409,1000000410,1000000411,1000000412,1000000413,1000000414,1000000415,1000000416,1000000417,1000000418,1000000419,1000000420,1000000421,1000000422,1000000423,1000000424,1000000425,1000000426,1000000427,1000000428,1000000429,1000000430,1000000431,1000000432,1000000433,1000000434,1000000435,1000000436,1000000437,1000000438,1000000439,1000000440,1000000441,1000000442,1000000443,1000000444,1000000445,1000000446,1000000447,1000000448,1000000449,1000000450,1000000451,1000000452,1000000453,1000000454,1000000455,1000000456,1000000457,1000000458,1000000459,1000000460,1000000461,1000000462,1000000463,1000000464,1000000465,1000000466,1000000467,1000000468,1000000469,1000000470,1000000471,1000000472,1000000473,1000000474,1000000475,1000000476,1000000477,1000000478,1000000479,1000000480,1000000481,1000000482,1000000483,1000000484,1000000485,1000000486,1000000487,1000000488,1000000489,1000000490,1000000491,1000000492,1000000493,1000000494,
0,418.977,517.589,626.740,975.358,355.727,519.752,478.479,501.668,334.073,428.341,722.099,397.353,384.822,518.179,683.610,432.423,437.716,702.591,648.610,458.361,414.110,250.671,372.421,557.108,458.679,584.137,469.064,1006.770,745.531,480.747,533.148,449.567,603.906,707.187,809.380,465.861,439.284,677.973,516.802,417.648,621.853,475.639,439.543,497.560,750.923,534.794,617.896,706.886,480.800,561.127,594.819,690.361,468.323,615.154,267.173,541.561,374.623,306.497,412.926,322.070,522.299,312.482,614.014,311.867,198.406,304.095,261.001,180.814,459.040,264.607,618.831,166.785,369.160,587.751,206.735,539.117,483.802,211.814,283.508,322.629,496.049,248.512,395.190,258.701,346.848,490.169,281.431,319.571,522.992,597.865,410.462,516.167,438.567,400.361,393.523,238.586,200.459,433.554,301.134,335.807,516.742,510.844,321.646,137.420,393.847,602.319,516.764,277.793,383.041,469.254,724.888,638.625,648.012,294.456,345.786,356.581,439.385,617.165,708.498,427.669,539.186,989.478,607.287,372.838,962.312,500.375,615.228,472.473,377.593,460.734,514.750,579.654,316.917,335.604,535.527,739.311,432.448,483.577,500.514,430.115,553.819,568.141,539.996,504.817,248.914,353.765,378.682,275.330,338.807,497.841,667.311,576.659,385.336,441.203,339.889,484.967,737.351,588.109,363.922,337.580,280.867,478.076,571.810,634.469,772.734,1197.451,541.408,494.035,641.628,700.153,411.391,496.362,512.376,416.389,510.942,483.983,503.908,717.720,883.637,482.737,385.512,503.834,543.293,493.701,477.989,509.014,471.647,347.781,574.659,561.650,415.452,469.549,522.323,478.806,533.647,556.333,541.135,499.428,526.204,509.844,472.665,427.325,377.138,463.030,262.441,486.596,469.454,448.917,430.220,487.621,426.897,468.784,479.859,409.782,205.618,359.845,393.222,598.187,546.449,782.573,634.848,515.180,644.835,512.284,320.337,306.365,702.636,441.460,479.060,493.463,457.774,448.293,583.389,404.800,575.125,527.770,626.275,569.795,586.381,640.516,465.552,379.500,454.805,400.849,443.397,475.021,485.818,485.496,359.370,430.508,408.128,354.259,371.831,488.046,408.018,453.905,350.657,364.493,180.550,317.704,484.454,433.093,498.362,391.121,463.238,314.543,254.320,495.720,443.460,429.734,267.350,360.659,1333.260,394.885,288.952,434.582,301.635,509.473,539.697,524.428,439.818,493.818,556.462,468.788,489.259,410.505,530.785,410.464,330.309,372.993,377.787,399.590,287.636,590.195,556.039,476.365,573.152,604.050,394.525,467.243,532.239,392.444,466.034,477.901,321.919,297.454,209.955,312.961,455.188,589.793,548.596,379.769,243.560,335.222,534.600,521.168,552.375,601.021,388.028,567.336,446.848,455.397,350.183,316.736,236.928,408.138,293.692,199.575,641.253,241.538,197.372,503.082,191.521,201.713,164.052,199.618,208.032,245.646,204.919,355.819,370.002,231.850,387.502,289.457,187.715,419.964,435.030,405.959,258.735,547.496,558.393,488.727,324.172,475.435,422.292,142.777,263.789,208.101,193.358,147.068,498.672,418.197,441.245,483.740,485.241,312.509,206.696,174.152,166.421,363.962,323.410,306.867,175.856,326.350,383.812,227.363,291.409,179.312,183.845,169.072,181.062,174.322,229.562,249.314,238.391,405.363,308.689,439.208,518.358,481.279,442.986,538.738,300.249,338.380,462.375,484.043,268.789,263.431,415.173,405.933,261.161,287.769,255.308,245.491,216.152,269.220,136.805,212.129,234.700,300.719,274.050,268.192,369.833,162.417,350.793,481.422,165.421,179.217,177.939,181.573,175.920,159.108,317.597,278.568,220.330,350.533,146.442,177.397,128.195,263.172,129.757,402.562,230.897,332.631,599.191,327.092,655.540,626.220,179.633,567.664,303.917,129.969,133.197,594.117,597.614,551.280,515.329,538.015,313.453,190.531,164.890,613.658,574.533,253.884,210.952,201.270,185.249,201.114,212.639,214.449,189.372,248.490,271.195,147.262,237.255,423.288,134.491,200.880,191.861,183.902,167.813,221.349,198.987,507.212,403.306,438.420,520.601,330.182,520.181,322.372,210.665,230.272,364.614,402.970,451.218,303.724,327.414,380.064,252.891,177.689,152.391,300.356,357.957,298.161,320.471,
3000,452.377,1543.666,1933.269,1400.990,999.119,1534.173,546.897,1432.865,548.630,458.804,818.010,889.253,816.289,1847.233,1997.463,897.770,652.531,1674.745,1503.178,1178.996,370.520,541.217,387.633,582.734,1662.010,1465.034,1084.373,2032.411,2039.085,1201.679,1195.323,448.867,664.022,1636.821,2568.591,480.549,451.025,1873.660,1073.866,888.601,1569.030,520.338,577.606,1548.845,956.039,834.016,741.037,948.392,539.935,1262.441,1346.139,911.210,520.688,684.631,415.737,1098.333,719.174,506.783,926.808,426.353,692.533,288.642,788.615,320.396,247.718,288.366,486.607,233.594,1027.775,278.932,1588.411,162.516,974.739,707.325,199.986,614.326,503.795,293.121,700.494,633.839,561.091,293.847,400.327,344.850,754.424,1102.729,904.036,973.044,601.516,983.208,639.106,1372.150,583.500,421.902,886.301,689.359,611.813,489.061,782.245,982.117,589.061,1199.922,272.304,191.569,821.844,1455.801,596.056,286.458,1131.455,488.884,1435.022,1785.702,799.563,358.391,360.928,412.237,446.032,764.084,1184.081,683.001,1126.751,2085.796,967.988,462.880,1550.867,1170.499,625.826,504.194,522.672,583.194,1116.826,1015.170,382.955,264.137,672.540,1389.096,424.671,541.620,762.763,1163.714,932.304,1306.235,687.777,1510.045,1052.959,1321.505,1019.101,1076.433,1210.408,1056.518,882.109,645.496,696.037,692.889,1366.108,1392.296,1348.309,725.615,731.905,735.027,1002.234,1200.047,567.117,1808.279,1451.121,2232.161,1326.671,835.090,2032.817,1712.586,1151.341,799.108,522.651,1074.342,625.289,546.550,550.688,2167.195,2432.192,1589.478,489.698,1476.008,686.831,703.975,907.413,639.289,501.146,921.897,621.576,1098.130,434.492,467.851,1524.005,1699.573,613.078,1606.491,1399.986,1032.119,517.855,693.087,463.001,709.771,410.295,1548.948,962.505,570.599,1033.987,519.301,504.505,885.267,549.712,720.366,1343.895,594.916,659.278,1008.589,392.185,1532.204,1249.088,1346.754,1290.063,532.248,1738.803,554.004,327.097,290.123,1943.470,1021.497,524.130,547.391,674.099,542.675,587.954,1593.698,583.618,494.285,655.750,1063.504,678.373,1269.175,783.582,477.672,491.313,407.259,496.345,455.160,650.916,473.620,421.205,596.371,414.518,339.840,434.282,690.652,548.028,538.910,423.027,648.789,357.640,442.751,1355.341,547.789,565.704,1079.487,1444.085,515.655,511.496,858.985,416.990,428.787,280.026,475.810,1301.863,933.871,290.628,909.662,333.796,528.079,526.347,515.110,612.447,581.618,1379.010,567.269,1209.474,425.144,513.741,623.317,342.841,402.994,413.169,621.135,873.889,551.715,537.001,468.977,640.245,633.680,458.164,564.403,586.180,433.880,476.983,513.737,324.729,478.524,293.689,340.256,788.112,1245.629,1510.114,624.230,423.469,330.686,1092.989,820.219,1234.491,961.481,561.146,1172.112,502.754,1090.260,402.812,400.386,594.389,1276.277,1079.485,600.380,1262.502,623.827,764.652,509.967,599.780,389.245,212.494,203.436,466.098,244.784,252.902,335.845,357.916,318.578,346.511,268.045,170.674,501.461,545.550,434.176,546.188,843.220,623.032,528.869,540.779,841.508,613.998,173.823,246.240,202.449,187.732,235.618,776.372,563.078,458.876,684.464,508.830,317.735,273.852,255.124,312.207,427.826,459.951,589.446,421.675,316.231,467.103,300.770,302.058,305.386,355.548,237.520,229.716,273.761,484.111,358.656,462.461,450.122,407.126,458.392,1104.833,897.504,415.979,690.052,504.934,775.241,627.939,771.195,481.830,246.945,709.828,451.707,267.424,418.565,599.129,396.880,272.817,662.240,331.983,257.516,505.008,333.866,524.150,243.329,374.447,201.669,497.915,506.241,253.966,217.188,263.091,709.269,200.191,499.704,1137.921,774.966,320.085,461.838,243.933,176.001,396.910,301.939,225.325,1041.307,228.715,651.450,1518.788,746.733,675.645,588.122,170.264,544.263,364.201,138.356,154.970,718.398,666.230,638.437,548.006,894.441,435.997,204.972,198.919,1128.137,951.275,730.314,340.043,219.958,190.252,265.570,342.825,254.774,196.135,372.438,279.443,168.660,366.672,562.786,165.239,364.288,265.637,176.641,176.482,409.164,241.124,591.776,511.710,586.243,562.939,380.859,564.214,303.050,211.816,285.491,356.166,378.576,440.250,405.108,480.476,491.701,263.372,220.006,138.287,308.836,1000.738,901.573,543.324,
5000,407.125,941.718,2234.170,1238.964,1150.367,1766.207,514.203,1832.823,847.901,542.898,1727.154,1318.851,930.915,1907.054,3350.905,1294.388,848.015,1370.530,1729.999,1615.770,393.849,1006.121,408.472,657.264,1824.851,1727.369,1398.262,2383.391,2415.321,1988.423,2213.552,453.744,1567.555,2066.293,2761.878,497.231,815.840,2523.023,1535.720,1481.293,2252.486,833.999,1254.234,1815.563,2466.252,1688.331,1075.541,2413.613,755.384,2245.191,1949.133,1883.367,1345.903,1453.724,1275.641,2315.002,1555.986,1383.600,1868.206,1355.250,2231.604,501.918,2543.153,336.757,988.130,379.225,1600.268,721.693,2946.215,702.722,2838.937,354.193,1366.100,1382.893,752.374,1476.093,1242.671,735.109,1845.256,1756.110,1276.457,466.176,455.803,798.367,599.052,891.255,1657.742,1049.584,721.712,2089.016,1343.497,2201.013,1763.047,485.399,1146.669,736.856,763.157,798.853,1180.450,1251.227,1519.967,1905.725,516.873,730.768,1595.571,1389.933,697.139,491.574,1800.192,2059.508,1023.041,1902.209,2036.912,738.414,715.123,557.805,632.735,975.935,1699.440,1346.489,2572.291,2212.969,1716.021,971.038,1233.516,2149.334,1437.394,545.006,831.467,753.578,1350.783,920.902,343.217,256.417,845.250,1260.872,435.022,677.322,1321.865,1802.388,1624.190,1859.403,687.546,2335.273,1069.921,1480.297,1210.483,1132.860,1370.894,1627.727,1410.723,722.638,1088.075,953.409,1904.848,1393.807,1531.139,847.072,1238.472,1477.353,1600.974,1563.079,741.684,2568.552,1702.133,2218.471,1584.722,1235.454,2627.344,1819.313,1497.999,1488.031,746.310,962.397,710.568,942.460,854.730,2034.004,2456.300,1731.651,962.753,1634.529,935.335,1516.830,1582.019,1151.512,524.276,1716.127,817.737,1403.578,847.860,541.485,1512.657,1557.882,628.617,2606.104,1419.778,1096.645,544.557,1051.213,771.441,1371.663,485.417,1849.763,1397.100,615.567,1075.901,589.961,963.896,1324.656,711.436,1175.350,1774.432,1233.817,785.558,1219.247,435.729,1328.149,1678.221,1563.307,1876.628,806.491,1714.678,571.338,281.181,299.296,2026.188,1190.035,623.347,1496.817,1102.382,610.731,622.333,2264.799,1096.292,596.884,1311.881,1863.771,672.252,1349.574,1962.240,600.623,554.542,517.606,523.290,728.448,2036.212,1073.400,599.849,1518.570,433.907,420.473,1060.660,1835.113,1808.990,1588.880,418.655,1394.917,617.381,1694.673,1847.942,833.926,1654.590,1729.242,2213.973,1509.686,1460.353,2491.239,955.458,1002.910,924.426,865.596,1157.578,1118.828,313.795,1066.230,356.020,671.989,966.497,769.140,1102.264,590.061,1704.269,612.985,1321.027,434.492,528.687,951.431,335.774,408.878,995.730,1151.986,1418.436,1057.506,775.491,554.154,968.412,973.103,502.946,1328.282,1392.147,582.487,628.389,593.998,364.180,1084.035,888.052,1052.135,1976.729,1817.864,2309.341,2029.875,1470.043,576.126,2299.416,1397.660,2653.533,2438.729,1982.204,1742.250,477.363,1135.114,555.387,570.366,1050.879,1317.574,1089.912,1100.195,1341.956,861.229,1314.912,530.750,1072.717,994.467,661.816,411.674,917.461,271.609,504.833,396.623,468.356,964.724,392.738,309.087,211.058,950.525,1629.598,547.613,1641.117,2671.396,2512.461,938.315,1794.003,1903.004,1447.112,520.763,300.794,293.740,375.463,561.359,2430.452,2115.591,539.508,1092.418,545.784,547.863,1087.357,926.513,1168.427,1223.479,883.286,1320.074,1224.702,408.107,552.523,1042.588,992.303,1395.354,296.901,273.710,232.310,226.061,653.661,459.117,931.364,528.516,941.827,1083.326,2077.185,1887.437,563.925,1711.036,1252.191,871.140,1111.718,892.144,1514.401,357.263,1302.857,1025.770,373.476,733.059,504.202,390.823,528.717,621.930,450.201,507.862,1224.759,321.483,409.595,327.712,471.343,739.094,1168.378,1134.391,372.986,211.970,337.901,833.552,206.072,607.861,2103.253,667.496,517.477,1214.320,471.101,173.089,574.582,568.880,293.933,1466.014,353.035,1470.754,2208.354,1209.114,1663.116,1513.233,357.797,1484.848,964.823,435.675,282.447,2197.315,651.317,653.521,624.661,1588.387,1327.638,368.985,455.081,1640.451,2056.476,1069.465,872.652,295.504,283.576,719.756,1037.621,443.803,203.061,1101.790,722.324,312.727,786.747,2361.637,518.510,555.227,302.989,198.790,175.767,697.596,274.791,1055.016,1709.476,1475.617,1366.436,1507.977,1718.027,380.079,438.032,919.274,430.668,469.349,638.737,1378.153,1642.774,1358.525,347.632,575.472,149.195,344.198,1994.320,2088.774,1463.039,
8000,351.661,639.263,1790.629,989.976,970.982,1599.372,494.125,1578.368,1162.767,563.047,2387.054,1539.222,703.745,1472.516,2501.459,1101.648,645.439,970.804,1580.685,1627.634,671.342,762.183,394.765,1272.772,1556.798,1431.549,1124.459,2663.377,2129.161,1938.339,1806.445,690.239,1866.688,1950.046,2260.797,468.500,1100.848,2079.083,1689.201,1587.844,1781.405,1123.756,1260.499,1589.248,3055.463,1961.421,1868.592,2625.841,1435.296,2028.764,1609.121,2325.597,1687.827,1915.695,1330.339,2990.838,1311.861,1258.886,1896.996,1870.935,2309.210,907.357,3346.115,456.574,1476.249,947.483,1342.141,677.958,3101.272,1191.102,2783.227,656.024,1156.740,1702.655,980.155,2121.331,2446.551,780.992,1568.204,1708.582,2434.677,664.750,477.931,838.099,451.817,906.649,1459.375,881.789,1003.087,2266.307,1496.493,2209.145,2151.701,488.481,1052.252,616.418,592.659,1041.541,934.492,1055.155,1899.794,1415.604,2184.404,825.770,1616.558,851.822,664.641,765.578,1578.121,2290.490,572.841,1612.489,2113.351,566.540,880.291,830.593,690.716,1065.874,1653.350,1408.987,2173.350,1583.874,2080.534,942.007,813.748,1989.687,1651.236,714.066,630.713,1108.875,785.209,686.328,391.522,606.006,964.368,911.005,581.883,715.802,1723.332,1676.532,1969.805,1889.059,772.163,2121.393,777.029,1497.877,1026.729,928.923,1133.830,1497.584,1414.629,1091.407,1154.584,1290.652,1367.922,1034.170,1077.369,1304.494,1149.493,1331.994,1544.154,1618.127,1708.020,2033.049,1164.798,1981.818,1284.121,1142.239,2249.121,1023.418,1247.762,1422.571,962.339,733.980,828.933,1026.506,1302.234,1547.445,1894.956,1852.783,1120.632,1725.085,916.804,1756.265,1238.647,1373.847,543.061,1498.684,1812.836,2113.220,901.472,568.513,1016.933,1193.026,906.714,2125.989,1303.077,950.188,571.030,2212.191,1049.390,1602.010,797.944,1613.287,1172.002,692.903,1034.197,560.680,1039.167,1655.772,1233.253,972.086,1222.448,1219.882,631.819,789.752,600.044,773.378,1280.930,1275.432,1874.268,1026.906,1429.631,987.185,290.763,285.472,1719.861,1240.085,674.752,2004.214,1112.720,662.311,563.188,2102.250,2007.069,570.652,1804.209,1735.815,681.416,1158.713,1771.267,697.912,624.227,498.332,703.727,830.553,2702.981,2080.539,1397.823,1636.920,440.329,373.205,1238.323,2170.900,1735.177,1951.727,450.289,1344.694,432.479,1488.578,1494.339,1546.297,1905.672,2007.241,2337.792,1625.308,1295.546,2208.996,1744.368,1758.142,1212.962,957.732,758.385,975.915,448.891,837.261,315.566,763.297,1602.841,1045.740,1181.064,654.102,1446.219,622.602,1158.655,490.310,542.174,1013.756,321.023,403.026,1191.735,1046.912,1285.832,1591.686,688.416,635.073,1842.121,2099.547,526.550,1755.202,1461.253,1464.153,1959.672,1567.876,467.319,1063.115,1041.433,1769.974,1964.348,1911.442,2136.255,2269.032,1576.406,601.074,2264.573,1331.123,2415.959,2191.172,1988.733,1972.963,796.741,885.005,758.191,867.505,785.107,1191.443,860.177,847.392,987.828,839.122,1238.554,712.095,1028.292,802.726,794.004,734.694,968.532,410.647,456.255,359.290,471.704,830.770,418.492,320.197,220.601,1397.800,2022.880,694.305,1902.850,2603.419,2502.496,2211.696,1889.150,2224.831,1992.557,468.673,290.350,358.445,545.439,414.433,2398.268,2011.856,595.642,1287.493,699.574,1112.415,1122.579,1492.488,1206.747,2356.731,1691.695,1942.834,1150.302,380.137,684.931,1080.722,1560.545,1288.790,217.406,249.654,254.713,194.057,549.253,370.528,852.152,715.176,754.917,1250.375,1987.533,1883.331,1105.356,1815.221,1341.871,917.687,1627.645,1342.127,1405.853,343.136,1456.272,1911.366,505.094,898.075,420.690,272.341,605.295,396.908,390.581,642.063,1125.788,382.963,268.131,340.721,476.229,764.718,1465.092,1330.963,465.771,233.732,308.125,660.085,210.190,404.732,1696.109,476.870,452.442,1146.280,372.867,155.997,449.297,792.519,186.659,1164.041,823.973,1272.622,1956.983,1017.430,2935.027,2815.526,617.327,2303.517,1128.502,632.380,679.900,2955.737,682.561,714.687,924.039,1822.786,1493.512,596.355,835.834,1341.210,2017.856,841.660,952.219,327.530,403.607,845.582,938.350,536.027,238.343,1024.029,1052.289,290.688,763.737,2188.390,496.924,572.905,368.249,299.849,248.253,861.450,209.948,1421.948,1719.924,2092.522,1702.094,1745.840,2087.284,444.591,392.708,1498.967,422.370,515.435,969.594,1466.577,1788.895,1458.364,706.738,803.466,161.859,626.465,1984.569,2098.165,871.956,
10000,280.484,757.899,1139.235,652.406,495.328,1081.567,557.125,977.089,942.333,722.409,1888.265,906.245,390.884,834.225,1493.247,832.812,370.339,560.222,1176.046,1105.829,782.714,491.174,607.166,1534.832,809.230,1006.489,971.134,1614.325,1636.822,1258.052,1567.114,1242.774,1433.581,1906.755,1325.786,532.926,821.319,1646.833,1235.157,1237.502,1259.896,862.015,980.843,1000.729,2119.500,1420.089,1556.509,2237.755,1221.939,1464.623,1589.410,2004.386,1238.003,1672.757,904.088,2290.529,757.192,1041.996,1361.270,1359.713,1468.338,850.008,2919.766,630.759,1096.203,1048.780,1244.580,441.533,2289.681,769.269,1971.202,570.794,850.360,1808.152,613.018,1809.066,1529.022,465.294,1111.138,1068.014,1887.968,820.091,521.421,555.801,335.354,550.162,906.619,443.988,1083.731,1645.132,1165.040,2015.271,1477.339,487.829,1068.310,363.627,313.133,1064.905,529.564,713.613,1741.996,1120.360,1611.538,671.186,1120.637,536.942,1076.687,618.961,1225.864,2022.804,464.944,1501.036,1308.238,430.486,700.133,893.879,1024.984,1118.635,1175.732,975.403,1816.410,997.577,1709.081,648.035,508.754,1422.641,1336.239,699.302,426.470,1273.369,497.608,352.604,537.932,878.030,714.500,630.314,524.730,895.873,1583.278,1428.745,1354.483,1210.918,978.053,1506.851,462.380,902.835,764.018,556.897,730.419,1015.868,1098.137,1130.236,996.678,992.537,842.625,503.046,1074.843,1261.333,699.908,747.113,1018.603,807.001,2218.260,1546.358,770.099,1086.863,863.863,744.207,1511.773,759.494,687.618,824.184,747.690,503.850,889.784,779.380,977.487,798.340,1064.038,1187.864,962.386,1083.285,931.382,1016.319,833.017,1005.055,629.653,1111.186,1346.906,1566.659,700.477,747.502,643.401,620.631,1261.597,1529.575,661.652,644.933,551.176,1678.478,1122.143,1242.600,863.749,1145.482,730.643,580.151,603.085,663.791,635.690,1383.039,1350.365,749.961,889.258,911.644,447.660,536.771,827.746,450.055,937.132,732.224,1573.085,1058.709,1018.567,1132.421,351.184,328.376,875.313,921.044,973.932,1757.451,806.894,1049.698,699.005,1738.443,1348.767,595.889,1713.251,1362.892,702.615,947.693,1539.374,569.462,703.307,487.441,1236.574,816.058,2112.207,1687.544,1212.726,1340.444,856.886,331.318,772.765,1786.478,1530.179,1592.853,1022.114,1171.741,241.821,1065.693,965.892,989.184,1435.423,1406.518,1646.856,1083.125,863.437,1840.115,1328.984,1723.568,559.684,912.269,495.080,665.035,549.980,489.907,293.623,562.032,1264.930,999.326,1021.650,720.579,1041.043,705.160,718.237,492.367,543.128,654.725,322.157,560.379,952.286,640.626,665.692,1359.332,691.624,1019.991,1799.375,1965.978,432.818,1274.581,1346.757,1248.775,1947.997,1824.927,786.770,588.880,937.946,1308.546,1505.756,1680.092,1681.496,1576.211,891.471,350.718,1723.414,1566.783,2143.712,1321.435,1437.770,1544.039,848.162,575.584,600.033,812.810,419.592,819.845,588.921,612.852,695.383,512.759,1045.939,988.402,683.675,697.753,555.917,443.174,632.451,541.389,291.410,374.669,787.845,529.467,443.802,298.390,277.759,1397.598,1476.750,970.354,1830.760,1739.526,1542.721,1836.732,1352.327,1257.505,1376.323,352.882,472.362,352.785,434.068,305.903,2073.618,1608.025,921.497,1061.775,669.151,873.056,688.495,1035.774,856.176,1359.343,1192.411,888.819,697.426,316.521,1001.785,696.128,1132.089,794.312,175.993,209.679,209.280,172.783,462.671,299.870,817.185,1244.979,632.970,1064.738,1521.728,1628.387,1119.777,1527.848,1156.404,784.918,1297.931,1291.733,1054.834,352.145,966.742,1529.768,536.021,970.010,360.724,278.859,531.478,265.570,226.868,609.005,724.953,351.039,200.268,516.122,469.624,572.539,1074.797,1055.576,391.778,212.490,242.078,400.298,357.961,314.738,1240.117,263.219,622.906,1174.100,236.985,148.010,299.679,505.901,156.230,860.886,628.494,748.928,1570.582,551.570,2654.439,2437.982,390.370,1933.484,904.113,407.215,644.674,2504.041,650.542,748.473,895.987,1519.429,1268.826,644.516,690.700,888.063,1477.246,530.836,777.929,366.188,541.388,789.819,649.898,790.386,323.326,943.822,758.703,234.017,820.840,1715.575,397.200,551.033,418.083,548.517,281.858,777.238,228.845,1683.182,1115.390,1806.230,1388.711,1384.598,1724.932,464.525,372.315,755.252,449.539,918.402,1528.533,1199.372,1488.182,1287.509,726.084,601.442,152.601,440.420,1335.585,1381.338,800.230,
