Detailed,,,,,,,,
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
97.08,6.50,23.63,um,Spot,Position,1,1000000000,0
107.57,52.82,21.13,um,Spot,Position,1,1000000001,1
108.38,8.28,15.36,um,Spot,Position,1,1000000002,2
107.94,28.09,27.95,um,Spot,Position,1,1000000003,3
109.17,43.98,20.50,um,Spot,Position,1,1000000004,4
110.39,21.11,27.90,um,Spot,Position,1,1000000005,5
112.41,20.79,17.82,um,Spot,Position,1,1000000006,6
112.24,65.79,21.71,um,Spot,Position,1,1000000007,7
115.75,27.81,15.57,um,Spot,Position,1,1000000008,8
120.49,29.87,19.18,um,Spot,Position,1,1000000009,9
122.42,61.43,24.43,um,Spot,Position,1,1000000010,10
125.05,13.86,24.45,um,Spot,Position,1,1000000011,11
125.60,19.74,27.77,um,Spot,Position,1,1000000012,12
126.29,59.11,16.27,um,Spot,Position,1,1000000013,13
125.98,86.39,16.89,um,Spot,Position,1,1000000014,14
130.47,8.63,12.78,um,Spot,Position,1,1000000015,15
132.45,56.27,21.04,um,Spot,Position,1,1000000016,16
135.41,20.83,10.39,um,Spot,Position,1,1000000017,17
135.72,0.35,33.50,um,Spot,Position,1,1000000018,18
137.10,36.27,14.30,um,Spot,Position,1,1000000019,19
138.06,67.87,14.64,um,Spot,Position,1,1000000020,20
138.16,108.92,15.72,um,Spot,Position,1,1000000021,21
138.57,52.99,14.21,um,Spot,Position,1,1000000022,22
138.85,71.96,26.44,um,Spot,Position,1,1000000023,23
142.59,10.09,12.38,um,Spot,Position,1,1000000024,24
146.53,122.84,20.67,um,Spot,Position,1,1000000025,25
146.71,40.06,17.41,um,Spot,Position,1,1000000026,26
148.01,0.35,25.02,um,Spot,Position,1,1000000027,27
149.63,69.76,12.49,um,Spot,Position,1,1000000028,28
151.76,20.66,18.83,um,Spot,Position,1,1000000029,29
152.14,39.50,10.40,um,Spot,Position,1,1000000030,30
153.85,57.72,26.97,um,Spot,Position,1,1000000031,31
154.95,132.73,15.96,um,Spot,Position,1,1000000032,32
158.87,38.44,14.08,um,Spot,Position,1,1000000033,33
162.38,62.04,14.75,um,Spot,Position,1,1000000034,34
164.05,5.84,27.53,um,Spot,Position,1,1000000035,35
165.20,147.98,18.92,um,Spot,Position,1,1000000036,36
171.56,119.47,16.35,um,Spot,Position,1,1000000037,37
171.87,132.75,15.82,um,Spot,Position,1,1000000038,38
172.48,108.49,25.44,um,Spot,Position,1,1000000039,39
173.43,37.22,14.30,um,Spot,Position,1,1000000040,40
176.71,0.35,18.36,um,Spot,Position,1,1000000041,41
177.24,134.98,23.50,um,Spot,Position,1,1000000042,42
178.22,146.02,19.19,um,Spot,Position,1,1000000043,43
180.98,121.08,16.89,um,Spot,Position,1,1000000044,44
184.66,124.72,22.90,um,Spot,Position,1,1000000045,45
186.00,57.84,23.70,um,Spot,Position,1,1000000046,46
100.61,20.81,22.49,um,Spot,Position,1,1000000047,1547
121.60,48.90,12.11,um,Spot,Position,1,1000000048,4740
185.08,108.08,18.33,um,Spot,Position,1,1000000049,1971
129.87,22.65,18.33,um,Spot,Position,1,1000000050,2394
139.45,33.71,11.42,um,Spot,Position,1,1000000051,2473
152.31,66.84,10.03,um,Spot,Position,1,1000000052,2883
169.25,33.42,16.95,um,Spot,Position,1,1000000053,5271
112.21,31.48,24.55,um,Spot,Position,1,1000000054,1568
187.37,94.79,22.49,um,Spot,Position,1,1000000055,2896
174.63,129.83,16.26,um,Spot,Position,1,1000000056,1606
126.56,98.57,23.87,um,Spot,Position,1,1000000057,1667
111.32,62.80,25.25,um,Spot,Position,1,1000000058,1701
143.04,76.99,18.33,um,Spot,Position,1,1000000059,1735
127.13,7.18,20.41,um,Spot,Position,1,1000000060,1801
126.74,2.90,29.41,um,Spot,Position,1,1000000061,1835
122.47,6.59,31.48,um,Spot,Position,1,1000000062,1869
130.09,27.45,19.03,um,Spot,Position,1,1000000063,1903
132.45,17.88,19.72,um,Spot,Position,1,1000000064,1937
180.16,114.31,21.79,um,Spot,Position,1,1000000065,1985
158.70,116.47,16.26,um,Spot,Position,1,1000000066,2019
163.62,112.48,18.33,um,Spot,Position,1,1000000067,2053
172.61,55.32,18.33,um,Spot,Position,1,1000000068,2087
152.73,51.66,15.57,um,Spot,Position,1,1000000069,2121
146.19,56.62,16.95,um,Spot,Position,1,1000000070,2155
169.62,49.92,12.11,um,Spot,Position,1,1000000071,2189
128.85,105.58,21.10,um,Spot,Position,1,1000000072,2223
154.16,82.99,13.49,um,Spot,Position,1,1000000073,2257
151.55,79.86,15.57,um,Spot,Position,1,1000000074,2291
147.55,83.13,11.42,um,Spot,Position,1,1000000075,2325
157.79,98.87,14.18,um,Spot,Position,1,1000000076,2359
133.12,32.88,15.57,um,Spot,Position,1,1000000077,2405
140.38,38.48,16.26,um,Spot,Position,1,1000000078,2439
184.33,54.36,19.03,um,Spot,Position,1,1000000079,2478
183.02,49.03,16.95,um,Spot,Position,1,1000000080,2512
177.12,52.50,14.88,um,Spot,Position,1,1000000081,2546
187.71,67.68,22.49,um,Spot,Position,1,1000000082,2612
177.72,66.46,14.88,um,Spot,Position,1,1000000083,2646
175.38,63.32,21.10,um,Spot,Position,1,1000000084,2680
156.58,58.15,17.64,um,Spot,Position,1,1000000085,2747
162.37,80.73,14.88,um,Spot,Position,1,1000000086,2781
161.92,90.82,12.11,um,Spot,Position,1,1000000087,2815
160.60,82.99,15.57,um,Spot,Position,1,1000000088,2849
187.25,92.26,21.10,um,Spot,Position,1,1000000089,2931
185.20,98.35,18.33,um,Spot,Position,1,1000000090,2965
184.88,69.42,17.64,um,Spot,Position,1,1000000091,3027
186.87,76.35,22.49,um,Spot,Position,1,1000000092,3061
187.54,79.43,23.87,um,Spot,Position,1,1000000093,3095
179.50,77.56,15.57,um,Spot,Position,1,1000000094,3129
175.83,74.49,18.33,um,Spot,Position,1,1000000095,3163
172.37,85.01,13.49,um,Spot,Position,1,1000000096,3197
