Detailed,,,,,,,,
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
55.99,166.13,38.89,um,Spot,Position,1,1000000000,0
65.12,296.37,48.09,um,Spot,Position,1,1000000001,1
69.04,205.06,35.01,um,Spot,Position,1,1000000002,2
70.35,161.31,33.32,um,Spot,Position,1,1000000003,3
78.80,190.24,26.94,um,Spot,Position,1,1000000004,4
81.90,130.14,33.76,um,Spot,Position,1,1000000005,5
80.68,151.00,30.46,um,Spot,Position,1,1000000006,6
81.40,160.18,30.93,um,Spot,Position,1,1000000007,7
86.41,64.98,42.01,um,Spot,Position,1,1000000008,8
87.67,99.82,32.52,um,Spot,Position,1,1000000009,9
95.06,353.90,39.84,um,Spot,Position,1,1000000010,10
95.66,153.68,28.58,um,Spot,Position,1,1000000011,11
95.61,204.21,32.09,um,Spot,Position,1,1000000012,12
96.53,81.31,33.57,um,Spot,Position,1,1000000013,13
97.21,118.43,27.37,um,Spot,Position,1,1000000014,14
96.93,297.18,34.88,um,Spot,Position,1,1000000015,15
99.68,191.90,28.75,um,Spot,Position,1,1000000016,16
101.71,71.45,33.43,um,Spot,Position,1,1000000017,17
106.28,166.64,24.62,um,Spot,Position,1,1000000018,18
106.73,101.09,26.56,um,Spot,Position,1,1000000019,19
110.07,288.16,24.47,um,Spot,Position,1,1000000020,20
112.29,297.76,33.27,um,Spot,Position,1,1000000021,21
114.89,53.43,31.40,um,Spot,Position,1,1000000022,22
115.78,166.78,18.97,um,Spot,Position,1,1000000023,23
116.57,67.57,28.12,um,Spot,Position,1,1000000024,24
123.12,90.84,22.05,um,Spot,Position,1,1000000025,25
124.53,246.38,20.34,um,Spot,Position,1,1000000026,26
130.84,142.37,17.84,um,Spot,Position,1,1000000027,27
134.16,260.39,18.78,um,Spot,Position,1,1000000028,28
135.99,312.80,24.51,um,Spot,Position,1,1000000029,29
138.29,74.94,19.28,um,Spot,Position,1,1000000030,30
141.56,111.00,16.54,um,Spot,Position,1,1000000031,31
144.12,131.36,15.56,um,Spot,Position,1,1000000032,32
144.77,146.61,14.15,um,Spot,Position,1,1000000033,33
150.55,60.04,21.48,um,Spot,Position,1,1000000034,34
153.15,285.31,17.65,um,Spot,Position,1,1000000035,35
154.91,155.04,14.18,um,Spot,Position,1,1000000036,36
157.34,116.82,15.66,um,Spot,Position,1,1000000037,37
158.49,249.11,18.18,um,Spot,Position,1,1000000038,38
158.54,296.76,22.12,um,Spot,Position,1,1000000039,39
163.06,134.33,16.54,um,Spot,Position,1,1000000040,40
162.96,312.73,19.50,um,Spot,Position,1,1000000041,41
163.41,190.26,13.18,um,Spot,Position,1,1000000042,42
165.63,58.21,20.94,um,Spot,Position,1,1000000043,43
173.57,52.56,18.09,um,Spot,Position,1,1000000044,44
174.31,69.97,17.84,um,Spot,Position,1,1000000045,45
176.48,117.57,13.18,um,Spot,Position,1,1000000046,46
179.37,91.62,13.96,um,Spot,Position,1,1000000047,47
179.21,207.83,13.11,um,Spot,Position,1,1000000048,48
181.92,216.44,14.19,um,Spot,Position,1,1000000049,49
183.13,188.24,13.49,um,Spot,Position,1,1000000050,50
189.62,137.36,14.36,um,Spot,Position,1,1000000051,51
191.48,102.35,13.42,um,Spot,Position,1,1000000052,52
191.75,154.41,13.50,um,Spot,Position,1,1000000053,53
192.37,72.29,20.63,um,Spot,Position,1,1000000054,54
192.60,271.80,16.41,um,Spot,Position,1,1000000055,55
198.19,204.32,13.66,um,Spot,Position,1,1000000056,56
200.42,326.83,23.88,um,Spot,Position,1,1000000057,57
204.40,119.67,16.30,um,Spot,Position,1,1000000058,58
204.18,190.15,17.75,um,Spot,Position,1,1000000059,59
206.95,106.98,13.84,um,Spot,Position,1,1000000060,60
210.13,319.81,22.01,um,Spot,Position,1,1000000061,61
212.45,86.25,15.71,um,Spot,Position,1,1000000062,62
223.69,127.21,16.46,um,Spot,Position,1,1000000063,63
224.87,150.45,25.79,um,Spot,Position,1,1000000064,64
229.58,52.23,17.23,um,Spot,Position,1,1000000065,65
233.84,140.15,27.57,um,Spot,Position,1,1000000066,66
240.17,283.40,24.67,um,Spot,Position,1,1000000067,67
241.26,234.05,19.15,um,Spot,Position,1,1000000068,68
246.08,116.05,33.97,um,Spot,Position,1,1000000069,69
