
Intensity Mean
 ==================== 
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,1000000054,1000000055,1000000056,1000000057,1000000058,1000000059,1000000060,1000000061,1000000062,1000000063,1000000064,1000000065,1000000066,1000000067,
0,395.961,445.236,232.680,491.689,296.260,239.180,597.446,411.088,279.713,718.912,528.060,283.375,598.886,758.438,573.830,262.895,571.268,240.925,255.001,918.154,624.203,388.210,320.061,249.755,660.844,320.116,582.366,238.953,303.584,441.859,242.236,606.552,322.456,513.420,221.617,295.566,229.615,215.894,310.639,484.681,367.490,325.104,762.576,260.710,311.489,303.375,580.563,268.302,248.963,420.243,564.508,592.935,683.381,921.627,626.681,271.397,859.175,248.106,228.249,448.316,820.350,975.124,618.122,609.171,546.790,296.623,417.076,657.942,
1000,315.714,458.912,229.218,463.859,389.631,249.414,594.458,534.850,539.465,817.582,517.662,349.366,536.242,694.489,658.928,411.119,619.403,244.661,428.952,793.840,659.806,313.668,302.784,361.775,738.653,367.793,555.203,248.004,473.329,592.523,317.189,666.555,447.479,543.727,342.547,432.242,243.454,246.560,449.796,481.179,403.931,422.099,795.163,327.441,343.719,446.745,517.093,494.011,341.771,662.008,531.840,675.480,726.260,837.066,722.314,339.131,782.082,278.958,245.825,673.845,768.250,813.877,542.063,636.985,532.901,624.454,302.887,590.394,
2000,381.520,425.026,222.557,504.666,370.974,340.792,613.923,942.419,749.044,814.547,566.544,692.536,525.594,710.291,577.539,625.531,606.736,381.753,492.409,736.554,710.530,453.703,294.626,360.859,734.877,649.207,632.706,237.492,562.185,671.197,470.684,624.033,709.599,504.100,437.624,676.580,238.829,299.341,584.023,430.147,385.114,720.667,762.082,439.293,637.189,379.979,606.054,703.997,493.066,447.815,543.830,696.674,676.403,776.394,640.623,621.795,866.462,454.938,238.791,531.596,813.587,775.937,532.811,597.909,733.100,593.611,291.298,549.470,
4000,485.052,437.253,229.849,425.425,340.286,414.473,630.746,705.234,517.550,742.502,524.431,655.113,509.377,673.977,868.117,495.048,805.289,502.018,298.977,641.871,650.000,456.934,295.416,275.918,610.533,722.030,535.633,241.857,451.274,581.336,444.518,449.387,689.091,539.504,265.054,575.130,243.387,295.960,647.954,437.378,402.661,619.847,704.224,311.137,643.788,303.103,605.393,451.043,379.112,306.624,508.966,641.192,649.567,699.755,382.797,531.512,763.074,485.035,278.491,602.319,850.222,651.111,567.732,600.769,800.734,407.345,458.248,844.118,
5000,404.143,438.864,259.287,473.049,275.947,381.723,771.660,459.144,338.725,697.133,762.958,422.572,570.242,781.160,748.596,324.235,978.317,432.967,265.397,704.027,652.555,476.916,302.607,241.127,707.346,503.765,571.051,319.958,306.249,717.325,342.876,582.066,427.050,572.401,246.255,418.590,282.517,257.541,333.888,453.383,418.366,502.993,783.728,264.986,418.865,263.938,659.608,313.142,272.508,283.230,507.024,523.813,844.220,854.132,467.058,361.044,866.072,345.250,413.015,524.931,840.416,686.401,541.800,550.974,751.685,352.172,312.160,556.366,
6000,358.136,478.395,310.072,539.089,265.862,294.332,747.832,402.075,300.453,734.172,804.722,304.885,568.434,631.365,888.434,283.071,940.798,277.304,222.264,698.731,642.513,477.541,331.434,223.030,642.478,368.398,607.441,406.502,288.776,798.983,274.142,604.477,335.645,642.382,232.160,355.265,390.368,241.182,268.417,491.397,417.853,495.007,735.353,234.343,349.699,257.849,543.531,284.718,245.483,273.132,519.777,725.926,627.035,843.965,441.610,291.631,846.653,264.406,400.473,567.023,810.639,825.685,562.096,660.636,725.680,371.108,384.418,686.937,
7000,369.656,483.472,368.243,504.176,249.323,254.436,794.675,364.241,276.540,790.029,657.405,280.506,517.667,615.691,887.378,256.264,786.357,260.103,219.059,699.917,649.728,611.849,403.456,235.589,602.591,338.632,662.291,312.763,297.234,602.871,261.379,533.778,311.598,696.700,220.215,308.198,332.199,220.598,270.497,527.464,413.398,515.219,750.561,229.700,295.656,247.133,594.386,255.033,245.794,264.053,574.413,722.656,796.939,884.060,457.091,282.351,834.341,237.951,292.172,547.020,797.021,822.864,586.057,600.841,742.438,302.311,289.812,644.742,
8000,374.974,566.627,256.886,511.144,254.123,226.422,748.405,336.733,277.304,925.215,564.228,282.204,536.662,688.386,916.345,262.160,810.392,253.721,208.415,738.417,642.274,540.033,501.164,230.425,735.713,318.416,716.970,271.670,263.515,717.791,251.709,714.282,299.087,659.486,223.129,304.321,264.707,233.858,263.522,539.426,409.320,617.445,796.704,242.597,308.500,256.508,561.381,246.244,253.009,274.286,841.478,841.319,715.096,843.539,418.956,269.504,907.142,230.613,260.087,571.257,874.551,1014.244,611.211,655.350,748.775,313.510,254.196,769.818,
10000,425.926,685.994,573.705,496.077,251.663,241.112,815.403,341.697,275.151,1114.157,672.909,276.491,492.526,657.647,875.932,243.553,794.103,232.562,219.673,784.725,638.738,575.728,404.322,242.590,679.409,305.339,695.081,245.644,331.122,688.268,241.009,646.414,297.777,594.144,216.714,289.593,251.980,230.698,274.304,527.785,468.442,745.865,763.285,231.451,300.504,259.661,505.412,246.886,248.011,356.491,975.543,748.610,804.852,887.687,439.370,270.744,762.435,241.174,242.930,539.588,819.285,728.421,615.039,604.524,782.064,327.962,258.483,624.071,
