
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID,
133.192,269.147,22.2115,um,Spot,Position,1,1000000000,0,
140.195,240.395,31.8297,um,Spot,Position,1,1000000001,1,
145.085,141.013,22.8313,um,Spot,Position,1,1000000002,2,
151.314,130.55,40.0419,um,Spot,Position,1,1000000003,3,
151.985,0.345944,32.2906,um,Spot,Position,1,1000000004,4,
151.908,22.9403,42.6749,um,Spot,Position,1,1000000005,5,
164.55,137.463,26.7421,um,Spot,Position,1,1000000006,6,
164.23,195.487,17.5339,um,Spot,Position,1,1000000007,7,
169.128,92.6306,30.1542,um,Spot,Position,1,1000000008,8,
179.118,0.345944,31.7513,um,Spot,Position,1,1000000009,9,
185.827,67.4999,28.7166,um,Spot,Position,1,1000000010,10,
186.512,234.153,30.4994,um,Spot,Position,1,1000000011,11,
191.76,251.121,36.6178,um,Spot,Position,1,1000000012,12,
197.907,102.857,30.8892,um,Spot,Position,1,1000000013,13,
200.033,41.2797,22.9544,um,Spot,Position,1,1000000014,14,
202.305,242.276,27.1365,um,Spot,Position,1,1000000015,15,
205.275,209.298,20.4686,um,Spot,Position,1,1000000016,16,
206.454,8.23707,33.636,um,Spot,Position,1,1000000017,17,
212.041,23.802,32.7902,um,Spot,Position,1,1000000018,18,
216.976,118.681,29.3235,um,Spot,Position,1,1000000019,19,
221.737,180.439,29.1347,um,Spot,Position,1,1000000020,20,
113.023,262.283,30.0972,um,Spot,Position,1,1000000021,1045,
150.195,43.5586,27.3296,um,Spot,Position,1,1000000022,1177,
154.063,39.0151,40.4755,um,Spot,Position,1,1000000023,1409,
183.129,192.889,20.4107,um,Spot,Position,1,1000000024,1032,
184.645,220.827,29.4053,um,Spot,Position,1,1000000025,1218,
215.694,40.1778,24.562,um,Spot,Position,1,1000000026,1125,
221.058,194.781,35.8638,um,Spot,Position,1,1000000027,1245,
227.125,128.119,37.7079,um,Spot,Position,1,1000000028,1386,
227.398,68.6472,23.1783,um,Spot,Position,1,1000000029,1137,
230.053,118.48,34.3418,um,Spot,Position,1,1000000030,1381,
245.328,21.0155,39.7836,um,Spot,Position,1,1000000031,1138,
127.703,169.888,31.4809,um,Spot,Position,1,1000000032,1423,
152.162,236.294,26.6377,um,Spot,Position,1,1000000033,1030,
157.606,231.39,23.8702,um,Spot,Position,1,1000000034,1048,
160.886,215.143,41.8593,um,Spot,Position,1,1000000035,1264,
167.579,217.589,17.6432,um,Spot,Position,1,1000000036,1184,
219.921,143.067,44.6268,um,Spot,Position,1,1000000037,1359,
231.183,59.3123,32.1728,um,Spot,Position,1,1000000038,1128,
135.536,82.9667,37.016,um,Spot,Position,1,1000000039,1658,
135.852,80.4626,33.5566,um,Spot,Position,1,1000000040,1395,
196.842,179.583,35.12,um,Spot,Position,1,1000000041,1224,
143.978,252.558,32.8647,um,Spot,Position,1,1000000042,1279,
125.539,185.901,38.3998,um,Spot,Position,1,1000000043,1428,
169.968,76.4969,39.7836,um,Spot,Position,1,1000000044,1058,
175.008,105.151,34.2485,um,Spot,Position,1,1000000045,1089,
173.448,205.704,29.4053,um,Spot,Position,1,1000000046,1297,
176.263,183.789,31.4809,um,Spot,Position,1,1000000047,1328,
210.902,127.376,39.7836,um,Spot,Position,1,1000000048,1471,
171.482,131.874,35.6323,um,Spot,Position,1,1000000049,1502,
150.329,155.309,17.6432,um,Spot,Position,1,1000000050,1533,
183.536,155.62,32.8647,um,Spot,Position,1,1000000051,1564,
175.619,139.626,41.8593,um,Spot,Position,1,1000000052,1595,
158.285,117.852,18.335,um,Spot,Position,1,1000000053,1626,
133.434,265.635,21.1191,um,Spot,Position,2,1000000000,22,
139.05,245.478,30.1953,um,Spot,Position,2,1000000001,23,
143.968,146.291,21.2467,um,Spot,Position,2,1000000002,24,
150.49,135.094,38.7408,um,Spot,Position,2,1000000003,26,
151.8,7.63869,30.6905,um,Spot,Position,2,1000000004,27,
149.251,20.3109,41.1674,um,Spot,Position,2,1000000005,1414,
163.781,143.568,25.6572,um,Spot,Position,2,1000000006,29,
164.194,199.811,15.2013,um,Spot,Position,2,1000000007,30,
168.068,101.905,28.8079,um,Spot,Position,2,1000000008,31,
179.498,4.19231,30.3713,um,Spot,Position,2,1000000009,32,
184.986,73.9873,26.9622,um,Spot,Position,2,1000000010,35,
185.718,237.811,29.2283,um,Spot,Position,2,1000000011,36,
190.256,255.499,35.3728,um,Spot,Position,2,1000000012,37,
196.98,113.047,29.4294,um,Spot,Position,2,1000000013,38,
201.227,43.517,22.0693,um,Spot,Position,2,1000000014,39,
202.065,247.068,26.5136,um,Spot,Position,2,1000000015,40,
202.778,218.561,19.8507,um,Spot,Position,2,1000000016,41,
205.978,15.1687,32.1293,um,Spot,Position,2,1000000017,42,
211.105,30.5489,31.2451,um,Spot,Position,2,1000000018,44,
216.89,118.88,28.0033,um,Spot,Position,2,1000000019,45,
220.371,189.236,28.5666,um,Spot,Position,2,1000000020,46,
116.938,289.628,29.5158,um,Spot,Position,2,1000000021,21,
145.323,21.2199,25.3596,um,Spot,Position,2,1000000022,25,
154.336,38.3513,39.567,um,Spot,Position,2,1000000023,28,
183.213,190.511,19.1834,um,Spot,Position,2,1000000024,33,
183.894,217.155,28.346,um,Spot,Position,2,1000000025,34,
210.583,62.6708,21.4649,um,Spot,Position,2,1000000026,43,
221.176,215.284,31.4522,um,Spot,Position,2,1000000027,47,
223.773,123.871,36.9821,um,Spot,Position,2,1000000028,48,
226.105,62.1028,21.7957,um,Spot,Position,2,1000000029,49,
229.717,111.214,33.2771,um,Spot,Position,2,1000000030,50,
243.203,37.9102,32.0769,um,Spot,Position,2,1000000031,51,
122.823,195.692,32.8647,um,Spot,Position,2,1000000032,1424,
151.651,235.721,24.562,um,Spot,Position,2,1000000033,1031,
157.629,236.274,23.1783,um,Spot,Position,2,1000000034,1049,
160.876,219.423,41.1674,um,Spot,Position,2,1000000035,1265,
166.254,225.545,16.2594,um,Spot,Position,2,1000000036,1185,
219.836,150.806,43.243,um,Spot,Position,2,1000000037,1360,
238.055,73.4504,37.016,um,Spot,Position,2,1000000038,1464,
124.578,90.44,37.016,um,Spot,Position,2,1000000039,1659,
136.318,79.4461,30.789,um,Spot,Position,2,1000000040,1396,
196.15,188.994,33.905,um,Spot,Position,2,1000000041,1225,
142.624,262.324,31.4809,um,Spot,Position,2,1000000042,1280,
123.075,212.169,36.3242,um,Spot,Position,2,1000000043,1429,
168.254,82.2588,38.3998,um,Spot,Position,2,1000000044,1059,
170.169,135.564,33.5566,um,Spot,Position,2,1000000045,1657,
172.163,218.185,28.0215,um,Spot,Position,2,1000000046,1298,
178.964,166.816,30.789,um,Spot,Position,2,1000000047,1329,
211.284,133.102,39.0917,um,Spot,Position,2,1000000048,1472,
171.512,137.258,33.5566,um,Spot,Position,2,1000000049,1503,
149.737,160.981,16.2594,um,Spot,Position,2,1000000050,1534,
186.13,142.627,31.4809,um,Spot,Position,2,1000000051,1565,
173.971,146.321,40.4755,um,Spot,Position,2,1000000052,1596,
157.042,124.023,16.9513,um,Spot,Position,2,1000000053,1627,
131.824,279.36,20.3628,um,Spot,Position,3,1000000000,54,
138.039,251.956,30.0229,um,Spot,Position,3,1000000001,55,
143.013,157.522,20.8705,um,Spot,Position,3,1000000002,56,
146.822,138.294,39.193,um,Spot,Position,3,1000000003,57,
151.508,12.8196,30.4449,um,Spot,Position,3,1000000004,58,
151.007,34.0046,40.7487,um,Spot,Position,3,1000000005,59,
163.562,151.449,24.7043,um,Spot,Position,3,1000000006,65,
162.958,212.215,15.9646,um,Spot,Position,3,1000000007,64,
168.305,105.191,28.3864,um,Spot,Position,3,1000000008,66,
180.801,9.82696,29.3695,um,Spot,Position,3,1000000009,67,
185.175,78.4067,26.5971,um,Spot,Position,3,1000000010,70,
185.322,245.448,28.8304,um,Spot,Position,3,1000000011,71,
190.487,261.77,35.0483,um,Spot,Position,3,1000000012,72,
