
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID,
9.20945,129.981,37.5666,um,Spot,Position,1,1000000000,0,
19.6087,152.193,23.1315,um,Spot,Position,1,1000000001,1,
32.7692,148.462,19.6758,um,Spot,Position,1,1000000002,2,
34.211,131.171,29.846,um,Spot,Position,1,1000000003,3,
36.6546,113.722,43.0778,um,Spot,Position,1,1000000004,4,
37.0786,167.068,15.7054,um,Spot,Position,1,1000000005,5,
44.6024,185.425,28.3096,um,Spot,Position,1,1000000006,6,
47.2692,151.066,19.0735,um,Spot,Position,1,1000000007,7,
49.2784,116.91,36.258,um,Spot,Position,1,1000000008,8,
50.6954,176.038,20.4561,um,Spot,Position,1,1000000009,9,
57.5558,194.899,35.7396,um,Spot,Position,1,1000000010,10,
58.7862,134.578,27.0855,um,Spot,Position,1,1000000011,11,
61.0534,112.343,35.5346,um,Spot,Position,1,1000000012,12,
62.4667,164.203,16.2215,um,Spot,Position,1,1000000013,13,
70.8173,101.524,48.0863,um,Spot,Position,1,1000000014,14,
71.0955,185.103,34.3131,um,Spot,Position,1,1000000015,15,
74.7339,154.802,18.339,um,Spot,Position,1,1000000016,16,
80.0397,170.322,13.3678,um,Spot,Position,1,1000000017,17,
90.5859,110.007,43.6656,um,Spot,Position,1,1000000018,18,
96.6917,143.101,18.154,um,Spot,Position,1,1000000019,19,
104.053,166.222,18.6782,um,Spot,Position,1,1000000020,20,
106.381,122.698,22.1554,um,Spot,Position,1,1000000021,21,
107.662,95.9924,48.0863,um,Spot,Position,1,1000000022,22,
113.952,114.371,33.5362,um,Spot,Position,1,1000000023,23,
118.58,159.113,19.0504,um,Spot,Position,1,1000000024,24,
121.508,173.257,19.4514,um,Spot,Position,1,1000000025,25,
129.034,112.309,38.144,um,Spot,Position,1,1000000026,26,
135.266,183.107,37.1086,um,Spot,Position,1,1000000027,27,
138.388,168.57,19.6112,um,Spot,Position,1,1000000028,28,
150.044,112.023,34.1857,um,Spot,Position,1,1000000029,29,
153.476,162.145,14.2269,um,Spot,Position,1,1000000030,30,
160.952,124.691,26.8422,um,Spot,Position,1,1000000031,31,
163.741,112.428,36.2148,um,Spot,Position,1,1000000032,32,
164.745,166.777,14.8045,um,Spot,Position,1,1000000033,33,
169.76,133.217,20.5879,um,Spot,Position,1,1000000034,34,
173.645,155.741,18.4761,um,Spot,Position,1,1000000035,35,
180.292,177.056,12.759,um,Spot,Position,1,1000000036,36,
185.339,188.948,31.1067,um,Spot,Position,1,1000000037,37,
191.057,180.743,18.0676,um,Spot,Position,1,1000000038,38,
192.688,132.443,22.5674,um,Spot,Position,1,1000000039,39,
197.894,173.374,20.078,um,Spot,Position,1,1000000040,40,
207.767,118.419,26.6583,um,Spot,Position,1,1000000041,41,
215.929,145.493,19.2463,um,Spot,Position,1,1000000042,42,
222.72,134.103,25.0026,um,Spot,Position,1,1000000043,43,
223.62,173.571,14.9986,um,Spot,Position,1,1000000044,44,
224.226,107.83,48.0863,um,Spot,Position,1,1000000045,45,
228.677,116.097,42.656,um,Spot,Position,1,1000000046,46,
237.798,139.051,22.7246,um,Spot,Position,1,1000000047,47,
242.465,115.47,43.9058,um,Spot,Position,1,1000000048,48,
245.755,128.27,27.7968,um,Spot,Position,1,1000000049,49,
255.688,187.26,16.2083,um,Spot,Position,1,1000000050,50,
260.46,172.313,16.8662,um,Spot,Position,1,1000000051,51,
265.476,126.936,33.5841,um,Spot,Position,1,1000000052,52,
269.806,183.813,18.3369,um,Spot,Position,1,1000000053,53,
272.089,116.42,46.6617,um,Spot,Position,1,1000000054,54,
297.026,129.415,35.4495,um,Spot,Position,1,1000000055,55,
297.501,151.157,23.738,um,Spot,Position,1,1000000056,56,
300.633,177.418,23.0769,um,Spot,Position,1,1000000057,57,
304.643,200.166,18.9123,um,Spot,Position,1,1000000058,58,
307.97,174.863,20.5896,um,Spot,Position,1,1000000059,59,
323.247,132.498,40.3562,um,Spot,Position,1,1000000060,60,
324.699,176.21,22.5362,um,Spot,Position,1,1000000061,61,
335.924,193.147,23.941,um,Spot,Position,1,1000000062,62,
273.775,123.829,37.016,um,Spot,Position,1,1000000063,2745,
274.533,131,32.8647,um,Spot,Position,1,1000000064,2747,
279.523,126.088,40.4755,um,Spot,Position,1,1000000065,2746,
87.1041,118.257,34.2485,um,Spot,Position,1,1000000066,3014,
228.274,120.043,34.2021,um,Spot,Position,1,1000000067,3092,
185.578,110.937,40.4755,um,Spot,Position,1,1000000068,3016,
143.469,155.509,19.0269,um,Spot,Position,1,1000000069,2459,
128.151,160.391,15.5675,um,Spot,Position,1,1000000070,3094,
61.6965,99.3852,48.0863,um,Spot,Position,1,1000000071,3100,
123.199,153.253,17.0221,um,Spot,Position,1,1000000072,3109,
238.958,161.123,21.1026,um,Spot,Position,1,1000000073,2918,
141.944,118.242,28.7134,um,Spot,Position,1,1000000074,2614,
330.527,161.446,23.1783,um,Spot,Position,1,1000000075,2697,
45.9472,114.426,44.6268,um,Spot,Position,1,1000000076,2355,
193.082,115.844,37.7079,um,Spot,Position,1,1000000077,3019,
259.614,153.398,17.6432,um,Spot,Position,1,1000000078,2838,
276.98,165.904,16.2594,um,Spot,Position,1,1000000079,3379,
185.956,155.69,15.5675,um,Spot,Position,1,1000000080,2143,
190.313,151.133,16.2594,um,Spot,Position,1,1000000081,2173,
188.402,141.498,23.1783,um,Spot,Position,1,1000000082,2203,
92.5549,165.121,14.8756,um,Spot,Position,1,1000000083,2233,
97.0778,161.588,20.4107,um,Spot,Position,1,1000000084,2263,
79.5995,159.586,21.1026,um,Spot,Position,1,1000000085,2296,
155.126,172.036,14.8756,um,Spot,Position,1,1000000086,2429,
169.306,172.77,13.4918,um,Spot,Position,1,1000000087,2464,
143.56,127.653,22.5245,um,Spot,Position,1,1000000088,2494,
151.669,135.196,19.7188,um,Spot,Position,1,1000000089,2524,
149.61,130.293,21.1026,um,Spot,Position,1,1000000090,2554,
166.462,135.474,19.7188,um,Spot,Position,1,1000000091,2584,
295.486,127.522,36.3242,um,Spot,Position,1,1000000092,2637,
293.693,123.013,42.5511,um,Spot,Position,1,1000000093,2667,
319.885,181.33,23.1783,um,Spot,Position,1,1000000094,2709,
264.974,123.639,39.0917,um,Spot,Position,1,1000000095,2748,
236.747,127.211,28.0215,um,Spot,Position,1,1000000096,2778,
242.931,131.894,26.6377,um,Spot,Position,1,1000000097,2808,
262.619,164.298,23.1783,um,Spot,Position,1,1000000098,2851,
232.129,163.169,18.5593,um,Spot,Position,1,1000000099,2881,
229.894,140.753,21.1026,um,Spot,Position,1,1000000100,2888,
72.2286,98.2129,48.0863,um,Spot,Position,1,1000000101,2954,
97.6836,104.062,46.7025,um,Spot,Position,1,1000000102,2984,
203.786,113.941,39.7836,um,Spot,Position,1,1000000103,3032,
206.183,111.5,40.4755,um,Spot,Position,1,1000000104,3062,
200.19,136.577,19.7188,um,Spot,Position,1,1000000105,3119,
215.33,139.524,19.0269,um,Spot,Position,1,1000000106,3149,
219.626,140.301,23.1783,um,Spot,Position,1,1000000107,3179,
124.484,112.192,35.6323,um,Spot,Position,1,1000000108,3209,
193.089,174.729,20.4107,um,Spot,Position,1,1000000109,3239,
180.214,172.347,12.7999,um,Spot,Position,1,1000000110,3269,
287.15,184.865,18.335,um,Spot,Position,1,1000000111,3299,
285.539,194.072,21.1026,um,Spot,Position,1,1000000112,3352,
279.803,194.666,19.7188,um,Spot,Position,1,1000000113,3444,
279.962,190.409,18.335,um,Spot,Position,1,1000000114,3453,
282.466,172.382,16.2594,um,Spot,Position,1,1000000115,3410,
11.3662,128.135,36.666,um,Spot,Position,2,1000000000,63,
20.0848,152.164,22.0865,um,Spot,Position,2,1000000001,64,
34.2322,147.91,18.9117,um,Spot,Position,2,1000000002,65,
39.2819,130.246,28.5607,um,Spot,Position,2,1000000003,68,
37.6716,111.159,42.0193,um,Spot,Position,2,1000000004,66,
38.2355,166.492,15.0365,um,Spot,Position,2,1000000005,67,
45.2801,184.67,27.9615,um,Spot,Position,2,1000000006,69,
49.1322,150.101,18.2831,um,Spot,Position,2,1000000007,70,
50.9364,115.091,35.5299,um,Spot,Position,2,1000000008,71,
52.726,175.127,19.7485,um,Spot,Position,2,1000000009,72,
58.5119,193.549,35.314,um,Spot,Position,2,1000000010,73,
59.6563,135.396,24.555,um,Spot,Position,2,1000000011,74,
62.4477,110.421,34.4678,um,Spot,Position,2,1000000012,75,
65.0224,162.051,15.1755,um,Spot,Position,2,1000000013,76,
72.2807,98.9147,47.5683,um,Spot,Position,2,1000000014,77,
72.3909,183.665,33.7997,um,Spot,Position,2,1000000015,78,
76.9267,154.193,17.5447,um,Spot,Position,2,1000000016,79,
81.3743,169.924,12.6848,um,Spot,Position,2,1000000017,80,
90.7729,108.078,42.7079,um,Spot,Position,2,1000000018,81,
98.541,142.556,17.3476,um,Spot,Position,2,1000000019,82,
105.507,166.312,17.777,um,Spot,Position,2,1000000020,83,
107.896,122.102,21.1499,um,Spot,Position,2,1000000021,84,
109.984,93.7027,48.0863,um,Spot,Position,2,1000000022,2392,
116.064,112.989,32.4188,um,Spot,Position,2,1000000023,85,
120.042,159.12,18.2748,um,Spot,Position,2,1000000024,86,
122.09,172.874,19.0914,um,Spot,Position,2,1000000025,87,
131.228,111.061,36.9673,um,Spot,Position,2,1000000026,88,
137.965,182.324,36.1837,um,Spot,Position,2,1000000027,89,
140.318,167.561,19.2256,um,Spot,Position,2,1000000028,90,
151.829,111.938,33.5566,um,Spot,Position,2,1000000029,2629,
155.738,162.348,13.3447,um,Spot,Position,2,1000000030,91,
163.291,123.957,25.8638,um,Spot,Position,2,1000000031,92,
166.015,111.084,35.1947,um,Spot,Position,2,1000000032,93,
166.564,167.199,13.9096,um,Spot,Position,2,1000000033,94,
172.838,132.527,19.9595,um,Spot,Position,2,1000000034,95,
174.294,156.419,17.8284,um,Spot,Position,2,1000000035,96,
182.084,177.141,12.034,um,Spot,Position,2,1000000036,97,
187.478,188.604,30.8061,um,Spot,Position,2,1000000037,98,
193.605,181.053,17.3055,um,Spot,Position,2,1000000038,99,
195.73,132.366,21.5069,um,Spot,Position,2,1000000039,100,
