
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID,
111.808,128.911,28.6672,um,Spot,Position,1,1000000000,0,
118.232,33.2369,46.9199,um,Spot,Position,1,1000000001,1,
149.58,213.835,29.2117,um,Spot,Position,1,1000000002,2,
151.523,188.294,35.84,um,Spot,Position,1,1000000003,3,
160.339,130.393,34.4029,um,Spot,Position,1,1000000004,4,
167.744,75.6859,22.0405,um,Spot,Position,1,1000000005,5,
175.359,269.693,21.3745,um,Spot,Position,1,1000000006,6,
189.046,128.66,33.776,um,Spot,Position,1,1000000007,7,
191.63,238.454,16.9111,um,Spot,Position,1,1000000008,8,
192.748,147.094,19.7069,um,Spot,Position,1,1000000009,9,
199.927,116.564,39.9463,um,Spot,Position,1,1000000010,10,
199.309,201.459,28.2077,um,Spot,Position,1,1000000011,11,
205.085,3.48543,41.4337,um,Spot,Position,1,1000000012,12,
205.539,68.6037,36.9073,um,Spot,Position,1,1000000013,13,
209.152,49.0117,23.1022,um,Spot,Position,1,1000000014,14,
212.52,265.83,21.4072,um,Spot,Position,1,1000000015,15,
220.832,133.929,27.0777,um,Spot,Position,1,1000000016,16,
228.354,256.93,29.8267,um,Spot,Position,1,1000000017,17,
147.303,244.922,23.8702,um,Spot,Position,1,1000000018,781,
149.923,158.406,30.0972,um,Spot,Position,1,1000000019,764,
155.927,15.1076,40.4755,um,Spot,Position,1,1000000020,1807,
174.471,178.045,13.4918,um,Spot,Position,1,1000000021,730,
178.541,216.689,11.4162,um,Spot,Position,1,1000000022,739,
216.972,167.116,29.4053,um,Spot,Position,1,1000000023,838,
228.521,172,39.0917,um,Spot,Position,1,1000000024,836,
163.368,69.3072,27.3296,um,Spot,Position,1,1000000025,771,
217.164,111.525,20.4107,um,Spot,Position,1,1000000026,942,
162.454,139.061,28.0215,um,Spot,Position,1,1000000027,820,
202.144,147.663,39.7836,um,Spot,Position,1,1000000028,844,
135.776,178.161,35.1376,um,Spot,Position,1,1000000029,1115,
168.953,130.174,39.7836,um,Spot,Position,1,1000000030,944,
185.79,147.867,25.9458,um,Spot,Position,1,1000000031,964,
156.724,148.687,19.7188,um,Spot,Position,1,1000000032,896,
185.167,170.938,23.8702,um,Spot,Position,1,1000000033,857,
185.028,191.777,29.4053,um,Spot,Position,1,1000000034,980,
182.719,270.193,25.9458,um,Spot,Position,1,1000000035,1010,
168.441,213.632,34.9404,um,Spot,Position,1,1000000036,1062,
204.027,248.62,16.9513,um,Spot,Position,1,1000000037,1070,
139.069,255.859,30.789,um,Spot,Position,1,1000000038,1071,
196.503,266.723,32.8749,um,Spot,Position,1,1000000039,1121,
195.068,241.14,31.4809,um,Spot,Position,1,1000000040,1151,
192.201,24.562,34.0702,um,Spot,Position,1,1000000041,1181,
185.222,36.9952,34.2485,um,Spot,Position,1,1000000042,1211,
183.239,25.2539,36.345,um,Spot,Position,1,1000000043,1241,
147.241,52.0102,41.8593,um,Spot,Position,1,1000000044,1271,
156.579,60.2156,21.7945,um,Spot,Position,1,1000000045,1301,
134.79,11.6956,29.4053,um,Spot,Position,1,1000000046,1570,
119.301,121.191,48.0863,um,Spot,Position,1,1000000047,1360,
152.649,81.1819,42.5511,um,Spot,Position,1,1000000048,1390,
152.616,54.6752,48.0863,um,Spot,Position,1,1000000049,1420,
181.057,131.537,34.9404,um,Spot,Position,1,1000000050,1450,
157.173,237.542,28.0215,um,Spot,Position,1,1000000051,1480,
159.594,260.255,29.4053,um,Spot,Position,1,1000000052,1540,
130.25,230.354,34.2485,um,Spot,Position,1,1000000053,1571,
141.557,237.322,14.1837,um,Spot,Position,1,1000000054,1601,
123.578,184.751,45.3187,um,Spot,Position,1,1000000055,1659,
128.023,243.399,37.016,um,Spot,Position,1,1000000056,1661,
112.175,172.627,34.2485,um,Spot,Position,1,1000000057,1691,
227.792,63.6551,32.1728,um,Spot,Position,1,1000000058,1727,
238.009,61.4196,37.016,um,Spot,Position,1,1000000059,1757,
114.454,131.605,36.4341,um,Spot,Position,2,1000000000,18,
118.42,33.6577,48.0862,um,Spot,Position,2,1000000001,19,
148.972,219.251,27.8772,um,Spot,Position,2,1000000002,21,
150.789,194.632,34.4627,um,Spot,Position,2,1000000003,23,
160.668,146.583,32.1728,um,Spot,Position,2,1000000004,817,
166.787,73.6872,21.1026,um,Spot,Position,2,1000000005,775,
174.722,274.818,19.8308,um,Spot,Position,2,1000000006,26,
185.153,116.836,34.6465,um,Spot,Position,2,1000000007,28,
191.595,250.79,15.4664,um,Spot,Position,2,1000000008,29,
194.121,148.926,19.1471,um,Spot,Position,2,1000000009,30,
199.931,116.035,39.0867,um,Spot,Position,2,1000000010,31,
199.61,216.047,26.8242,um,Spot,Position,2,1000000011,738,
204.679,5.57243,40.5806,um,Spot,Position,2,1000000012,32,
205.404,73.2147,35.7578,um,Spot,Position,2,1000000013,33,
206.627,52.6017,21.4735,um,Spot,Position,2,1000000014,34,
211.147,274.485,19.6552,um,Spot,Position,2,1000000015,35,
215.154,145.502,21.3277,um,Spot,Position,2,1000000016,36,
229.594,248.933,28.7713,um,Spot,Position,2,1000000017,39,
145.835,261.339,22.3519,um,Spot,Position,2,1000000018,20,
149.56,176.284,28.6029,um,Spot,Position,2,1000000019,22,
158.989,2.42974,40.5918,um,Spot,Position,2,1000000020,24,
173.264,168.913,12.3885,um,Spot,Position,2,1000000021,25,
183.767,236.591,9.21063,um,Spot,Position,2,1000000022,27,
215.71,161.58,28.3091,um,Spot,Position,2,1000000023,37,
222.786,193.093,35.4403,um,Spot,Position,2,1000000024,38,
159.818,72.8257,24.562,um,Spot,Position,2,1000000025,772,
231.225,125.829,25.9458,um,Spot,Position,2,1000000026,943,
160.864,142.867,26.2295,um,Spot,Position,2,1000000027,821,
200.785,155.69,38.3998,um,Spot,Position,2,1000000028,845,
139.573,186.464,33.5289,um,Spot,Position,2,1000000029,1116,
169.019,136.788,38.3998,um,Spot,Position,2,1000000030,945,
185.481,153.922,25.2539,um,Spot,Position,2,1000000031,965,
153.956,168.959,17.6432,um,Spot,Position,2,1000000032,897,
185.553,169.307,22.4864,um,Spot,Position,2,1000000033,858,
184.224,195.538,28.7134,um,Spot,Position,2,1000000034,981,
183.227,267.688,25.2539,um,Spot,Position,2,1000000035,1011,
169.202,226.287,33.5566,um,Spot,Position,2,1000000036,1063,
205.131,245.753,14.1837,um,Spot,Position,2,1000000037,1510,
138.859,265.71,29.4053,um,Spot,Position,2,1000000038,1072,
195.953,275.026,30.9595,um,Spot,Position,2,1000000039,1122,
193.692,249.584,30.0972,um,Spot,Position,2,1000000040,1152,
191.65,30.0972,32.5986,um,Spot,Position,2,1000000041,1182,
183.729,40.5485,32.8647,um,Spot,Position,2,1000000042,1212,
184.226,21.7945,35.8403,um,Spot,Position,2,1000000043,1242,
146.103,52.7274,41.1674,um,Spot,Position,2,1000000044,1272,
155.552,52.8784,21.1026,um,Spot,Position,2,1000000045,1302,
133.876,29.9277,25.9458,um,Spot,Position,2,1000000046,1331,
121.721,97.4406,48.0863,um,Spot,Position,2,1000000047,1361,
148.302,76.0184,40.4755,um,Spot,Position,2,1000000048,1391,
152.862,51.0836,48.0863,um,Spot,Position,2,1000000049,1421,
180.483,136.523,34.2485,um,Spot,Position,2,1000000050,1451,
157.845,235.968,26.6377,um,Spot,Position,2,1000000051,1481,
159.27,265.35,28.7134,um,Spot,Position,2,1000000052,1541,
129.885,229.318,33.5566,um,Spot,Position,2,1000000053,1572,
137.187,266.907,12.1081,um,Spot,Position,2,1000000054,1602,
133.901,182.308,48.0863,um,Spot,Position,2,1000000055,1657,
117.688,257.464,37.016,um,Spot,Position,2,1000000056,1662,
121.399,133.787,29.4053,um,Spot,Position,2,1000000057,1692,
223.882,48.9466,30.0972,um,Spot,Position,2,1000000058,1728,
242.522,54.9302,46.7025,um,Spot,Position,2,1000000059,1758,
110.775,138.909,30.789,um,Spot,Position,3,1000000000,825,
117.515,29.8164,47.4209,um,Spot,Position,3,1000000001,40,
148.806,224.495,27.2007,um,Spot,Position,3,1000000002,43,
150.663,200.196,33.8614,um,Spot,Position,3,1000000003,44,
161.672,143.264,31.9689,um,Spot,Position,3,1000000004,46,
166.643,80.4422,20.5324,um,Spot,Position,3,1000000005,48,
174.737,280.296,19.6029,um,Spot,Position,3,1000000006,50,
185.106,119.887,33.4158,um,Spot,Position,3,1000000007,51,
189.853,261.108,14.4291,um,Spot,Position,3,1000000008,53,
193.04,159.284,17.9289,um,Spot,Position,3,1000000009,54,
199.833,119.442,38.617,um,Spot,Position,3,1000000010,56,
197.695,208.309,26.317,um,Spot,Position,3,1000000011,55,
204.997,7.46893,40.3688,um,Spot,Position,3,1000000012,57,
205.288,75.1916,35.4793,um,Spot,Position,3,1000000013,58,
212.186,46.9187,23.658,um,Spot,Position,3,1000000014,61,
211.588,278.568,19.4151,um,Spot,Position,3,1000000015,60,
218.663,155.727,21.1686,um,Spot,Position,3,1000000016,62,
222.154,232.174,27.3296,um,Spot,Position,3,1000000017,797,
145.68,252.301,22.2669,um,Spot,Position,3,1000000018,41,
148.301,189.945,26.8067,um,Spot,Position,3,1000000019,42,
158.75,8.45986,40.0029,um,Spot,Position,3,1000000020,45,
172.692,176.025,10.8619,um,Spot,Position,3,1000000021,49,
187.583,235.886,10.2169,um,Spot,Position,3,1000000022,52,
220.815,171.127,28.9669,um,Spot,Position,3,1000000023,63,
223.425,197.63,35.152,um,Spot,Position,3,1000000024,64,
162.026,73.7247,25.1619,um,Spot,Position,3,1000000025,47,
210.521,137.514,18.0178,um,Spot,Position,3,1000000026,59,
160.172,167.932,23.9209,um,Spot,Position,3,1000000027,822,
198.598,164.154,37.016,um,Spot,Position,3,1000000028,846,
139.404,185.772,32.8755,um,Spot,Position,3,1000000029,1117,
168.298,153.703,35.6323,um,Spot,Position,3,1000000030,946,
185.144,157.684,24.562,um,Spot,Position,3,1000000031,966,
155.038,181.979,16.2594,um,Spot,Position,3,1000000032,898,
184.791,169.805,22.4864,um,Spot,Position,3,1000000033,859,
183.172,214.862,26.6377,um,Spot,Position,3,1000000034,982,
180.031,275.572,24.562,um,Spot,Position,3,1000000035,1012,
168.094,222.834,32.8647,um,Spot,Position,3,1000000036,1064,
202.001,266.385,14.8756,um,Spot,Position,3,1000000037,1511,
139.565,266.474,29.4053,um,Spot,Position,3,1000000038,1073,
197.466,268.799,30.7656,um,Spot,Position,3,1000000039,1123,
193.325,264.312,30.0972,um,Spot,Position,3,1000000040,1153,
191.417,32.556,32.1728,um,Spot,Position,3,1000000041,1183,
184.555,45.3186,32.8647,um,Spot,Position,3,1000000042,1213,
183.534,36.8905,34.2485,um,Spot,Position,3,1000000043,1243,
146.053,61.6968,40.4755,um,Spot,Position,3,1000000044,1273,
153.592,83.4035,18.335,um,Spot,Position,3,1000000045,1303,
142.596,39.7578,23.1783,um,Spot,Position,3,1000000046,1332,
121.553,103.187,48.0863,um,Spot,Position,3,1000000047,1362,
152.469,90.988,41.1674,um,Spot,Position,3,1000000048,1392,
149.481,49.1598,22.4864,um,Spot,Position,3,1000000049,1422,
179.402,147.943,32.1728,um,Spot,Position,3,1000000050,1452,
156.763,234.83,26.6377,um,Spot,Position,3,1000000051,1482,
158.269,259.919,28.0215,um,Spot,Position,3,1000000052,1542,
128.011,227.008,34.2485,um,Spot,Position,3,1000000053,1573,
137.089,246.449,12.1081,um,Spot,Position,3,1000000054,1603,
131.443,180.475,48.0863,um,Spot,Position,3,1000000055,1658,
127.248,247.554,38.3998,um,Spot,Position,3,1000000056,1663,
118.067,145.536,34.9404,um,Spot,Position,3,1000000057,1693,
224.437,88.5351,24.562,um,Spot,Position,3,1000000058,1729,
238.628,57.5609,48.0863,um,Spot,Position,3,1000000059,1759,
116.545,133.011,35.2473,um,Spot,Position,4,1000000000,65,
117.319,17.8916,48.0863,um,Spot,Position,4,1000000001,824,
149.014,227.001,26.8808,um,Spot,Position,4,1000000002,68,
150.714,203.971,33.4028,um,Spot,Position,4,1000000003,69,
160.664,122.421,33.4741,um,Spot,Position,4,1000000004,71,
165.823,79.6754,20.6852,um,Spot,Position,4,1000000005,72,
174.632,284.325,18.9183,um,Spot,Position,4,1000000006,74,
182.864,134.436,32.1693,um,Spot,Position,4,1000000007,75,
193.206,267.817,14.07,um,Spot,Position,4,1000000008,77,
200.764,162.003,13.4918,um,Spot,Position,4,1000000009,780,
199.546,128.613,37.5795,um,Spot,Position,4,1000000010,79,
197.032,213.875,25.6375,um,Spot,Position,4,1000000011,78,
