
Intensity Mean
 ==================== 
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,
0,73.570,65.186,73.437,22.622,84.946,19.375,57.785,68.245,22.490,25.610,36.776,33.102,34.673,35.070,112.512,71.854,64.572,30.476,65.717,60.627,66.327,53.292,68.619,25.895,89.811,33.312,74.746,34.228,41.225,69.565,42.649,59.447,51.536,83.544,96.029,17.547,70.135,13.725,62.827,62.233,72.084,15.512,14.156,37.319,13.450,9.828,9.857,11.457,13.406,10.457,10.937,4.493,11.426,7.054,
2000,73.551,73.783,70.491,22.104,81.005,16.550,55.471,72.257,22.436,33.570,37.679,33.610,37.263,35.031,108.105,71.247,67.807,28.813,66.963,71.589,69.220,51.628,66.580,27.115,93.208,35.546,79.955,52.961,27.789,71.438,50.006,63.193,48.264,92.520,93.758,16.554,68.336,13.460,51.795,54.752,57.874,15.172,15.676,33.755,12.687,15.428,10.157,11.622,9.779,16.780,11.164,3.722,9.776,7.371,
3000,73.187,65.762,73.781,28.327,79.725,19.142,56.966,67.174,22.356,29.950,35.659,32.377,35.874,34.596,121.935,69.325,64.366,42.231,69.025,59.292,62.037,46.692,73.860,26.053,86.573,35.593,79.119,42.774,40.469,73.536,29.037,51.562,49.102,69.221,81.228,18.630,71.066,12.774,64.862,54.591,56.342,14.432,18.900,47.951,12.572,10.672,10.163,10.655,10.517,6.163,11.427,4.337,9.733,7.924,
4000,77.303,63.586,71.262,32.645,83.233,25.823,67.796,69.979,22.661,28.474,39.149,32.443,40.190,34.680,109.592,68.456,68.062,29.677,68.602,65.067,70.315,51.901,70.878,27.331,90.883,35.592,76.980,42.359,41.764,78.730,30.799,68.571,52.264,73.468,82.089,16.743,66.410,11.479,35.310,56.586,61.827,14.131,19.743,47.412,13.039,12.546,10.445,12.910,10.710,8.222,11.696,4.636,12.311,7.816,
5000,73.919,67.481,72.844,28.075,79.283,26.108,64.597,72.078,22.434,25.944,36.562,33.250,34.460,36.566,105.461,67.234,59.212,31.173,67.452,65.057,71.534,54.352,68.364,25.152,89.099,36.886,77.155,47.509,52.276,72.465,28.496,47.220,49.398,72.525,80.027,15.913,65.531,19.256,56.094,53.857,59.778,14.614,19.726,49.530,13.274,11.047,12.421,11.006,7.898,7.378,11.265,4.679,11.308,8.007,
7000,74.101,64.712,67.385,25.972,87.840,28.642,55.695,69.354,23.705,27.977,40.914,34.409,37.516,39.505,116.774,61.555,59.691,32.278,66.019,72.470,77.904,40.224,70.317,26.101,87.139,37.016,71.138,63.200,29.975,71.420,34.419,35.750,50.825,68.752,93.797,19.352,65.947,19.916,62.431,41.038,56.360,15.131,18.978,49.516,14.126,12.485,13.849,14.523,10.307,7.922,11.735,4.416,13.178,8.102,
8000,75.600,66.551,69.627,27.663,90.139,27.670,63.581,69.471,23.068,27.975,39.620,34.890,36.913,38.612,114.890,68.484,58.884,33.681,65.634,74.981,71.730,50.243,67.998,25.032,89.507,38.371,75.257,61.657,50.612,72.318,32.510,36.178,51.107,69.056,91.568,16.731,68.838,20.924,61.426,53.138,56.263,13.477,16.075,49.286,13.386,13.629,6.920,11.828,14.099,12.095,11.854,4.495,9.045,7.874,
9000,74.229,70.640,74.199,27.105,95.364,30.084,55.529,67.656,24.315,28.221,39.372,35.820,37.158,36.807,119.694,69.090,64.294,50.802,69.787,69.645,64.687,49.820,73.112,26.604,88.350,37.805,85.634,47.736,44.302,86.356,33.219,50.178,35.564,71.174,93.346,16.708,65.650,21.657,80.511,46.972,56.296,14.122,19.336,50.542,13.378,12.204,11.829,11.556,15.624,9.776,11.875,4.876,9.981,8.233,
10000,71.635,67.241,71.511,24.792,86.334,33.279,54.229,69.973,23.173,26.083,39.783,34.146,35.701,37.656,115.857,68.196,55.625,31.878,68.070,65.117,62.372,47.338,72.653,24.216,89.902,36.268,74.973,51.085,55.754,73.144,31.916,58.965,48.929,70.611,82.109,15.217,88.201,21.394,49.038,39.296,62.334,15.790,15.711,52.713,13.926,12.613,12.391,11.809,12.716,7.010,12.320,5.188,13.332,8.644,
