0,189.84,157.26,234.52,192.59,256.32,252.18,201.03,201.9,202.62,183.51,196.82,162.23,348.96,334.73,243.77,215.9,283.7,165.91,181.39,151.26,189.59,207.82,176.04,189.28,172.43,170.51,231.53,287.68,205.01,212.35,268.76,207.93,219.49,193.86,193.77,173.49,224.3,169.42,171.57,159.25,192.26,374.38,128.85,149.26,153.33,144.92,149.91,127.01,390.28,139.09,305.33,134.2,231.09,263.26,255.2,395.04,430.73,213.64,237.48,142.03,221.73,350.72,155.06,212.68,215.52,188.56,172.53,147.81,167.97,226.65,252.72,161.37,140.93,163.25,134.69,137.22,185.4,218.4,163.13,156.18,162.09,156.29,464.79,132.97,126
1,192.63,159.99,314.08,195.87,283.76,271.16,229.77,216.23,257.29,232.02,223.81,172.46,387.96,458.51,243.31,216.05,522.67,167.59,194.71,152.03,201.8,211.54,199.51,187.97,178.8,184.51,404.25,287.16,212.93,239.28,347.36,211.42,297.11,176.89,208.9,172.83,243.37,178.14,173.39,161.61,187.89,306.34,128.46,157.89,153.57,143.87,204.12,140.02,366.96,147.46,302.2,142.22,317.52,290.28,400.24,413.26,503.54,321.05,239.43,144.33,236.11,394.4,153.89,227.85,215.08,186.59,177.4,151.26,174.54,258.6,406.52,160.81,143.76,191.41,133.32,138.01,182.81,224.24,169.98,156.71,178.6,154.83,622.85,144.8,148.95
2,195.42,162.72,393.64,199.15,311.2,290.14,258.51,230.56,311.97,280.52,250.79,182.69,426.97,582.29,242.85,216.2,761.64,169.28,208.04,152.81,214.01,215.26,222.98,186.67,185.18,198.52,576.97,286.64,220.85,266.21,425.95,214.91,374.73,159.92,224.04,172.17,262.44,186.86,175.22,163.97,183.53,238.3,128.06,166.52,153.81,142.83,258.33,153.03,343.63,155.84,299.07,150.24,403.96,317.31,545.28,431.49,576.35,428.45,241.39,146.64,250.5,438.07,152.72,243.01,214.65,184.62,182.27,154.7,181.11,290.54,560.32,160.25,146.58,219.58,131.95,138.79,180.23,230.09,176.82,157.24,195.12,153.37,780.92,156.62,171.91
3,206.56,169.16,486.03,204.92,358.15,330.38,303.85,255.41,368.32,347.98,290.26,199.3,495.04,748.19,263.53,226.71,993.98,174.61,232.35,156.21,244.88,234.27,260.38,196.92,199.48,214.27,744.7,293.04,230.9,316.77,505.63,227.5,472.3,144.32,251.85,180.75,293,207.53,185.07,171.24,188.06,179.12,127.92,177.03,158.34,142.76,321.52,170.74,336.26,174.97,305.16,159.09,507.42,372.86,694.73,465.63,643.69,532.88,245.58,151.75,278.58,525.28,154.69,273.29,229.25,186.34,191.7,162.68,191.86,337.62,723.12,161.92,151.61,255.94,131.26,147.68,183.54,250.84,189.36,159.3,223.22,154.75,966.45,171.34,192.13
4,309.55,216.43,719.48,238.05,619.69,604.57,531.71,396.04,443.07,624.05,466.99,286.14,882.91,1377.3,516.84,351.17,1153.4,220.06,377.55,188.55,480.88,421.39,451.07,334.37,301.03,249.26,857.53,375.4,264.51,627.11,597.24,340.24,789.35,143.74,419.04,290.9,450,359.55,283.17,232.45,290.47,217.42,130.54,208.19,210.09,153.4,483.5,240.16,504.28,312.45,412.7,177.05,798.25,742.22,892.72,674.82,650.81,604.49,274.38,187.82,457.34,1091.3,191.15,469.87,409.25,228.7,251.22,220.47,248.6,551.23,984.91,188.12,180.88,382.45,138.06,245.75,251.73,435.53,264.56,178.32,378.8,187.42,1454.1,217.91,182.39
5,412.53,263.7,952.93,271.18,881.23,878.76,759.57,536.66,517.83,900.12,643.72,372.98,1270.8,2006.4,770.14,475.62,1312.8,265.51,522.75,220.89,716.89,608.51,641.76,471.83,402.58,284.26,970.36,457.76,298.11,937.45,688.86,452.98,1106.4,143.16,586.23,401.06,607,511.57,381.27,293.66,392.88,255.71,133.17,239.36,261.84,164.04,645.48,309.59,672.3,449.94,520.23,195.01,1089.1,1111.6,1090.7,884.02,657.94,676.11,303.17,223.88,636.09,1657.4,227.62,666.45,589.26,271.05,310.75,278.26,305.35,764.84,1246.7,214.31,210.15,508.96,144.86,343.82,319.92,620.22,339.76,197.33,534.37,220.09,1941.8,264.49,172.65
6,519.11,314.15,1127,318.63,1131.3,1097.9,953.69,656,575.04,1144.5,781.64,456.97,1578.2,2500,1012.1,593.03,1418.7,316.2,651.87,254.41,949.27,783.72,797.56,608.35,477.76,319.87,1059.3,557.08,326.61,1201.4,793.26,585.14,1373.6,142.22,725.79,515.72,751.25,637,482.8,352.65,502.5,286.61,147.44,266.29,317.47,173.7,770.05,364.73,836.9,574.41,658.4,211.33,1333.2,1435.7,1235.8,1079.7,663.36,733.53,367.25,259.17,800.57,2064.2,274.86,825.14,740.6,304.53,358.85,332.62,353.56,946.05,1439.2,232.91,236.89,631.84,151.22,423.13,375.37,791.37,405.96,215.45,672.17,256.45,2326.3,303.37,169.7
7,646.06,382.69,964.89,447.25,1316.2,1005.4,956.69,654.69,532.85,1209.4,699.65,524.77,1429.5,2225.5,1190,670.52,1221.2,396.54,689.83,294.66,1161.1,891.4,755.62,739.63,403.54,358.97,1013.2,752.49,326.16,1202.6,970.11,827.38,1358.5,139.22,708.77,655.85,823.32,611.71,603.82,399.11,653,275.59,227.68,269.25,395.03,177.77,682.56,338.97,982.15,625.15,970.15,218.32,1312.5,1503.2,1081,1198.6,659.13,710.53,631.27,290.07,884.11,1568.7,383.17,769.15,729.51,287.66,342.26,367.52,353.4,943.7,1239.5,208.4,249.25,734.1,155.09,396.1,358.66,885.75,421.19,228.46,709.2,313.7,2126,298.67,205.22
8,773.01,451.23,802.74,575.87,1501.1,912.87,959.68,653.38,490.66,1274.4,617.66,592.57,1280.8,1951,1367.8,748,1023.7,476.88,727.78,334.91,1372.9,999.09,713.67,870.91,329.33,398.08,967.06,947.9,325.71,1203.8,1147,1069.6,1343.5,136.23,691.75,795.99,895.38,586.41,724.84,445.57,803.51,264.57,307.91,272.21,472.6,181.84,595.08,313.2,1127.4,675.88,1281.9,225.32,1291.7,1570.7,926.28,1317.5,654.89,687.52,895.29,320.98,967.65,1073.2,491.47,713.15,718.42,270.8,325.67,402.42,353.24,941.35,1039.7,183.9,261.61,836.37,158.95,369.08,341.95,980.14,436.42,241.46,746.24,370.95,1925.8,293.96,240.73
9,842.16,503.74,652.79,647.37,1583.2,812.22,926.51,624.27,451.28,1289.2,539.69,623.52,1170.7,1639.1,1443.1,787.39,835.55,527.73,751.29,359.25,1492.4,1052.3,655.01,937.26,268.61,413.8,904.48,1077.5,321.15,1180.6,1230.3,1223.7,1300.3,235.86,654.51,885.79,907.6,553.93,800.79,470.2,890.92,253.21,354.77,267.12,529,183.95,513.83,283.8,1242.3,700.36,1494,225.14,1224.6,1550.2,773.73,1349.3,636.68,643.91,1070,345.2,1011.8,673.9,549.19,645.51,685.76,256.6,304.89,412.02,340.85,897.91,851.38,167.04,264.36,885.68,161.48,335.2,321.08,1016.5,441.38,247.12,750.59,411.52,1701,280.7,260.25
