Experiment ID:,3817,
Experimetn Name:,CCA1 OX EXP25 ,

sample,biol. desc.,Exp. Cond,,anal.,date,method,params,data type,data window,attention,period,period err,phase by fit,phase to DW,phase err,amplitude by fit,amplitude err,phase method specific,phase to DW,phase err,amplitude method specific,amplitude err,phase by averaged peaks,phase to DW,phase err,amplitude by averaged peaks,amplitude err,phase by first peak,phase to DW,phase err,amplitude by first peak,amplitude err,GOF,ERR,
1,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.51,0.860056,14.35,14.35,0.0,626.0,0.0,14.28,14.28,1.517,627.0,152.7,14.02,14.02,0.881892,815.0,39.78,13.6,13.6,0.0,838.0,0.0,0.455132,0.243541,
1,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,30.0,0.0,13.97,13.97,0.0,621.0,0.0,13.3,13.3,0.0,873.0,0.0,13.3,13.3,0.0,873.0,0.006021,13.3,13.3,0.0,873.0,0.0,0.384771,0.384771,
1,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.86,1.75,13.93,13.93,0.0,611.0,0.0,14.15,14.15,0.0,603.0,0.0,13.51,13.51,1.086,884.0,52.12,13.0,13.0,0.0,898.0,0.0,0.376989,0.063443,

2,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,IGNORED,32.96,1.359,15.9,15.9,0.0,140.8,0.0,15.41,15.41,2.553,144.8,40.84,15.47,15.47,10.55,233.7,29.95,19.2,19.2,0.0,229.3,0.0,0.414696,0.282044,
2,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,32.74,0.0,16.17,16.17,0.0,140.3,0.0,16.4,16.4,0.0,139.9,0.0,16.38,16.38,0.056569,139.9,0.005448,16.4,16.4,0.0,139.9,0.0,0.726139,0.726139,
2,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,33.55,2.14,14.77,14.77,0.0,140.3,0.0,14.79,14.79,0.0,135.0,0.0,15.03,15.03,11.24,249.1,64.56,19.0,19.0,0.0,226.7,0.0,0.373211,0.087459,

3,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.97,0.526621,13.53,13.53,0.0,673.0,0.0,12.77,12.77,1.023,667.0,98.98,12.03,12.03,4.956,941.0,720.0,14.2,14.2,0.0,1025.0,0.0,0.183464,0.148396,
3,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.68,0.0,13.85,13.85,0.0,669.0,0.0,13.8,13.8,0.0,707.0,0.0,13.82,13.82,0.04,707.0,0.046368,13.8,13.8,0.0,707.0,0.0,0.626401,0.626401,
3,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.46,1.09,13.92,13.92,0.0,679.0,0.0,13.91,13.91,0.0,685.0,0.0,12.61,12.61,4.929,895.0,643.0,14.8,14.8,0.0,1007.0,0.0,0.363522,0.044013,

4,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,26.92,0.675609,17.2,17.2,0.0,319.2,0.0,16.830000000000002,16.830000000000002,0.920975,318.8,68.12,16.68,16.68,0.16,398.9,23.71,16.6,16.6,0.0,412.0,0.0,0.342757,0.213676,
4,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.22,0.0,16.9,16.9,0.0,320.3,0.0,16.4,16.4,0.0,419.7,0.0,16.41,16.41,0.083267,419.7,0.013809,16.4,16.4,0.0,419.7,0.0,0.372733,0.372733,
4,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.85,1.42,17.07,17.07,0.0,295.2,0.0,16.93,16.93,0.0,296.8,0.0,16.78,16.78,0.51316,378.4,31.61,17.0,17.0,0.0,389.7,0.0,0.373024,0.056369,

5,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,26.79,0.929204,12.96,12.96,0.0,472.5,0.0,12.6,12.6,1.895,527.0,134.6,12.21,12.21,3.982,676.0,477.5,14.4,14.4,0.0,462.9,0.0,0.400292,0.255408,
5,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,26.439999999999998,0.0,13.33,13.33,0.0,471.6,0.0,12.6,12.6,0.0,523.0,0.0,12.56,12.56,0.08,523.0,0.038692,12.6,12.6,0.0,523.0,0.0,0.65102,0.65102,
5,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.54,1.04,12.95,12.95,0.0,487.1,0.0,13.08,13.08,0.0,497.5,0.0,12.26,12.26,0.28,506.0,9.947,12.4,12.4,0.0,512.0,0.0,0.565905,0.052166,

6,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.94,0.672119,13.68,13.68,0.0,316.3,0.0,13.54,13.54,1.348,316.3,70.76,13.26,13.26,0.72,389.9,23.98,12.9,12.9,0.0,402.3,0.0,0.442973,0.223712,
6,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.32,0.0,13.3,13.3,0.0,317.7,0.0,12.6,12.6,0.0,422.2,0.0,12.58,12.58,0.04,422.2,0.059524,12.6,12.6,0.0,422.2,0.0,0.388122,0.388122,
6,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.68,1.5,13.7,13.7,0.0,310.9,0.0,13.7,13.7,0.0,311.3,0.0,13.12,13.12,0.64,404.8,10.21,12.8,12.8,0.0,399.1,0.0,0.391758,0.060442,

7,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.27,0.634269,15.95,15.95,0.0,685.0,0.0,15.67,15.67,1.436,707.0,139.8,15.66,15.66,1.032,835.0,360.1,15.7,15.7,0.0,998.0,0.0,0.360272,0.197737,
7,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.439999999999998,0.0,15.77,15.77,0.0,686.0,0.0,15.3,15.3,0.0,857.0,0.0,15.26,15.26,0.08,857.0,0.699961,15.3,15.3,0.0,857.0,0.0,0.38602,0.38602,
7,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.38,1.56,15.53,15.53,0.0,643.0,0.0,15.6,15.6,0.0,636.0,0.0,15.35,15.35,1.19,866.0,175.9,15.0,15.0,0.0,910.0,0.0,0.410575,0.055494,

8,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,20.7,0.675928,18.16,18.16,0.0,136.0,0.0,18.369999999999997,18.369999999999997,1.941,136.1,50.17,20.4,20.4,0.765942,283.2,91.36,19.9,19.9,0.0,277.2,0.0,0.422355,0.368626,
8,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,30.5,0.0,24.13,24.13,0.0,116.7,0.0,20.1,20.1,0.0,212.8,0.0,20.1,20.1,8.204640795236539E-15,212.8,0.010977,20.1,20.1,0.0,212.8,0.0,0.799016,0.799016,
8,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,20.96,7.81,18.33,18.33,0.0,141.1,0.0,18.41,18.41,0.0,138.5,0.0,19.35,19.35,2.946,186.1,53.94,19.9,19.9,0.0,217.2,0.0,0.751298,0.242534,

9,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.31,0.68278,14.1,14.1,0.0,650.0,0.0,13.96,13.96,1.355,655.0,119.5,13.52,13.52,0.682447,797.0,54.58,13.2,13.2,0.0,824.0,0.0,0.384004,0.182443,
9,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.58,0.0,13.84,13.84,0.0,652.0,0.0,12.9,12.9,0.0,838.0,0.0,12.92,12.92,0.04,838.0,0.131565,12.9,12.9,0.0,838.0,0.0,0.341764,0.341764,
9,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.39,1.59,13.72,13.72,0.0,631.0,0.0,13.76,13.76,0.0,617.0,0.0,13.04,13.04,0.523195,867.0,51.82,12.8,12.8,0.0,897.0,0.0,0.3479,0.05442,

10,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.43,0.319576,15.67,15.67,0.0,1526.0,0.0,15.54,15.54,0.631131,1553.0,158.1,15.27,15.27,0.54,1698.0,106.9,15.0,15.0,0.0,1750.0,0.0,0.244409,0.101803,
10,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.6,0.0,15.49,15.49,0.0,1528.0,0.0,14.9,14.9,0.0,1731.0,0.0,14.9,14.9,9.39959687352353E-15,1731.0,0.394156,14.9,14.9,0.0,1731.0,0.0,0.222283,0.222283,
10,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.45,1.09,15.48,15.48,0.0,1444.0,0.0,15.43,15.43,0.0,1450.0,0.0,15.05,15.05,0.818535,1833.0,183.1,14.6,14.6,0.0,1907.0,0.0,0.212534,0.058758,

11,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,25.21,1.273,14.04,14.04,0.0,214.9,0.0,13.8,13.8,2.962,203.3,73.45,13.69,13.69,2.964,230.4,145.8,15.4,15.4,0.0,246.6,0.0,0.69497,0.361289,
11,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,24.92,0.0,14.45,14.45,0.0,215.9,0.0,14.4,14.4,0.0,216.1,0.0,14.45,14.45,0.083267,216.1,0.003996,14.4,14.4,0.0,216.1,0.0,0.80915,0.80915,
11,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,23.85,1.11,15.41,15.41,0.0,179.1,0.0,15.34,15.34,0.0,178.7,0.0,15.92,15.92,4.37,205.8,29.42,16.7,16.7,0.0,225.7,0.0,0.716731,0.053779,

12,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,30.81,0.374044,16.2,16.2,0.0,506.0,0.0,16.159999999999997,16.159999999999997,0.671483,509.0,42.95,16.52,16.52,0.818372,626.0,121.4,16.4,16.4,0.0,679.0,0.0,0.145574,0.084381,
12,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,31.04,0.0,15.99,15.99,0.0,505.0,0.0,16.3,16.3,0.0,600.0,0.0,16.33,16.33,0.061101,600.0,0.215213,16.3,16.3,0.0,600.0,0.0,0.233225,0.233225,
12,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,30.72,1.37,16.22,16.22,0.0,482.8,0.0,16.3,16.3,0.0,499.4,0.0,16.61,16.61,1.062,619.0,30.35,16.1,16.1,0.0,633.0,0.0,0.227919,0.061835,

13,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.37,0.442371,13.08,13.08,0.0,638.0,0.0,12.94,12.94,0.902931,631.0,84.7,12.36,12.36,0.3646,757.0,24.77,12.2,12.2,0.0,769.0,0.0,0.294547,0.134231,
13,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.46,0.0,12.97,12.97,0.0,639.0,0.0,12.1,12.1,0.0,752.0,0.0,12.14,12.14,0.08,752.0,0.040368,12.1,12.1,0.0,752.0,0.0,0.264157,0.264157,
13,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.55,1.22,12.62,12.62,0.0,632.0,0.0,12.63,12.63,0.0,614.0,0.0,11.55,11.55,0.818535,732.0,57.68,12.0,12.0,0.0,707.0,0.0,0.236695,0.050347,

14,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,26.87,1.326,14.72,14.72,0.0,500.0,0.0,14.200000000000001,14.200000000000001,2.823,538.0,167.9,13.76,13.76,7.302,664.0,370.3,17.2,17.2,0.0,552.0,0.0,0.526242,0.312082,
14,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.380000000000003,0.0,14.15,14.15,0.0,502.0,0.0,13.7,13.7,0.0,508.0,0.0,13.69,13.69,0.083267,508.0,0.039214,13.7,13.7,0.0,508.0,0.0,0.728724,0.728724,
14,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.21,0.67,15.06,15.06,0.0,519.0,0.0,15.08,15.08,0.0,541.0,0.0,14.92,14.92,0.598108,570.0,17.63,14.6,14.6,0.0,573.0,0.0,0.555102,0.043384,

15,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.63,1.313,14.39,14.39,0.0,286.2,0.0,14.36,14.36,2.717,284.9,90.03,13.07,13.07,1.94,349.9,29.64,12.1,12.1,0.0,360.6,0.0,0.611827,0.316006,
15,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,29.18,0.0,13.69,13.69,0.0,287.1,0.0,12.4,12.4,0.0,352.0,0.0,12.42,12.42,0.04,352.0,0.018837,12.4,12.4,0.0,352.0,0.0,0.595698,0.595698,
15,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.15,0.79,14.45,14.45,0.0,270.9,0.0,14.48,14.48,0.0,267.2,0.0,14.08,14.08,1.097,334.5,14.59,14.4,14.4,0.0,339.0,0.0,0.578206,0.035544,

16,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.79,0.285423,11.09,11.09,0.0,1457.0,0.0,10.95,10.95,0.587755,1423.0,137.0,10.44,10.44,0.325167,1686.0,48.84,10.3,10.3,0.0,1710.0,0.0,0.208962,0.096275,
16,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.92,0.0,10.94,10.94,0.0,1458.0,0.0,10.0,10.0,0.0,1690.0,0.0,9.98,9.98,0.04,1690.0,0.051733,10.0,10.0,0.0,1690.0,0.0,0.158975,0.158975,
16,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.47,1.29,10.34,10.34,0.0,1450.0,0.0,10.27,10.27,0.0,1386.0,0.0,9.36,9.36,1.146,1721.0,226.1,9.9,9.9,0.0,1642.0,0.0,0.19683,0.062285,

17,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.27,0.498836,19.91,19.91,0.0,237.6,0.0,19.22,19.22,1.043,254.9,39.16,19.6,19.6,5.606,313.7,180.6,20.6,20.6,0.0,291.6,0.0,0.233445,0.153629,
17,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.68,0.0,19.48,19.48,0.0,234.0,0.0,18.7,18.7,0.0,247.8,0.0,18.72,18.72,0.04,247.9,0.008278,18.7,18.7,0.0,247.8,0.0,0.68092,0.68092,
17,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.58,1.59,19.53,19.53,0.0,205.2,0.0,19.53,19.53,0.0,207.9,0.0,18.82,18.82,5.793,297.5,114.8,20.0,20.0,0.0,287.2,0.0,0.617584,0.062224,

18,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.77,0.176027,13.38,13.38,0.0,534.0,0.0,13.13,13.13,0.374034,617.0,35.3,13.13,13.13,2.095,667.0,715.0,13.6,13.6,0.0,506.0,0.0,0.077562,0.057212,
18,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.22,0.0,13.99,13.99,0.0,533.0,0.0,13.6,13.6,0.0,598.0,0.0,13.58,13.58,0.04,598.0,0.021167,13.6,13.6,0.0,598.0,0.0,0.58098,0.58098,
18,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,29.35,0.84,12.39,12.39,0.0,519.0,0.0,12.47,12.47,0.0,497.3,0.0,12.25,12.25,0.608276,581.0,37.63,12.6,12.6,0.0,602.0,0.0,0.535919,0.039264,

