Experiment ID:,3817,
Experimetn Name:,CCA1 OX EXP25 ,

sample,biol. desc.,Exp. Cond,,anal.,date,method,params,data type,data window,attention,period,period err,phase by fit,phase to DW,phase err,amplitude by fit,amplitude err,phase method specific,phase to DW,phase err,amplitude method specific,amplitude err,phase by averaged peaks,phase to DW,phase err,amplitude by averaged peaks,amplitude err,phase by first peak,phase to DW,phase err,amplitude by first peak,amplitude err,GOF,ERR,
19,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.83,0.98671,11.66,11.66,0.0,127.1,0.0,11.51,11.51,1.947,122.1,42.44,10.84,10.84,2.484,172.2,53.44,12.2,12.2,0.0,153.9,0.0,0.521319,0.347584,
19,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.58,0.0,11.91,11.91,0.0,127.2,0.0,11.4,11.4,0.0,160.2,0.0,11.42,11.42,0.04,160.2,0.015537,11.4,11.4,0.0,160.2,0.0,0.574877,0.574877,
19,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.11,1.15,12.02,12.02,0.0,126.7,0.0,12.01,12.01,0.0,124.9,0.0,11.32,11.32,2.224,150.0,20.42,12.5,12.5,0.0,141.1,0.0,0.562956,0.041225,

20,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.81,0.452765,15.94,15.94,0.0,1753.0,0.0,15.809999999999999,15.809999999999999,0.85711,1794.0,189.7,15.32,15.32,0.098658,1991.0,129.4,15.3,15.3,0.0,2013.0,0.0,0.218887,0.105741,
20,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.8,0.0,15.95,15.95,0.0,1753.0,0.0,14.9,14.9,0.0,1995.0,0.0,14.9,14.9,3.552713678800501E-15,1995.0,0.070493,14.9,14.9,0.0,1995.0,0.0,0.211875,0.211875,
20,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.9,1.15,15.64,15.64,0.0,1652.0,0.0,15.63,15.63,0.0,1640.0,0.0,14.53,14.53,0.503322,2070.0,124.0,14.3,14.3,0.0,1732.0,0.0,0.205437,0.056924,

21,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.49,1.014,11.98,11.98,0.0,698.0,0.0,11.86,11.86,2.007,710.0,195.8,9.68,9.68,2.431,808.0,320.7,8.4,8.4,0.0,604.0,0.0,0.478987,0.275775,
21,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.8,0.0,11.45,11.45,0.0,701.0,0.0,10.2,10.2,0.0,749.0,0.0,10.2,10.2,0.0,749.0,0.016629,10.2,10.2,0.0,749.0,0.0,0.587553,0.587553,
21,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,27.95,1.15,10.98,10.98,0.0,680.0,0.0,10.98,10.98,0.0,675.0,0.0,9.65,9.65,0.3,748.0,15.34,9.5,9.5,0.0,740.0,0.0,0.575093,0.057849,

22,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,24.08,0.459956,21.34,21.34,0.0,317.7,0.0,21.32,21.32,0.849468,327.7,72.26,20.68,20.68,6.573,383.3,227.9,0.42,0.42,0.0,247.6,0.0,0.329948,0.220507,
22,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,23.96,0.0,21.5,21.5,0.0,316.9,0.0,21.2,21.2,0.0,325.4,0.0,21.24,21.24,0.068313,325.4,0.02603,21.2,21.2,0.0,325.4,0.0,0.634863,0.634863,
22,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,24.99,1.22,20.15,20.15,0.0,307.9,0.0,20.04,20.04,0.0,306.5,0.0,18.14,18.14,0.820813,350.0,31.78,17.7,17.7,0.0,340.8,0.0,0.621957,0.065907,

23,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,26.75,0.994057,15.81,15.81,0.0,609.0,0.0,15.59,15.59,2.325,622.0,169.5,15.45,15.45,3.306,733.0,455.2,16.9,16.9,0.0,502.0,0.0,0.559486,0.272508,
23,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,27.4,0.0,14.96,14.96,0.0,617.0,0.0,14.4,14.4,0.0,634.0,0.0,14.4,14.4,7.395563270997246E-15,634.0,0.005407,14.4,14.4,0.0,634.0,0.0,0.725768,0.725768,
23,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.91,1.42,15.0,15.0,0.0,606.0,0.0,14.96,14.96,0.0,622.0,0.0,14.79,14.79,0.82,649.0,20.9,15.2,15.2,0.0,637.0,0.0,0.547893,0.058831,

24,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,28.82,0.931831,11.55,11.55,0.0,223.6,0.0,10.98,10.98,1.812,223.4,50.42,10.65,10.65,0.333067,286.8,35.02,10.7,10.7,0.0,270.8,0.0,0.388931,0.225694,
24,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.8,0.0,11.57,11.57,0.0,223.6,0.0,11.0,11.0,0.0,254.1,0.0,11.0,11.0,0.0,254.1,0.065429,11.0,11.0,0.0,254.1,0.0,0.563595,0.563595,
24,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.54,1.22,11.31,11.31,0.0,227.6,0.0,11.27,11.27,0.0,221.7,0.0,10.49,10.49,0.384361,258.0,10.82,10.7,10.7,0.0,257.9,0.0,0.371699,0.05558,

25,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.99,0.496605,14.17,14.17,0.0,1328.0,0.0,14.059999999999999,14.059999999999999,1.015,1321.0,218.4,13.41,13.41,0.42,1547.0,55.42,13.2,13.2,0.0,1575.0,0.0,0.362463,0.165329,
25,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.240000000000002,0.0,13.89,13.89,0.0,1332.0,0.0,12.6,12.6,0.0,1565.0,0.0,12.59,12.59,0.061101,1565.0,0.119549,12.6,12.6,0.0,1565.0,0.0,0.330029,0.330029,
25,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,28.19,1.15,13.76,13.76,0.0,1293.0,0.0,13.79,13.79,0.0,1272.0,0.0,12.61,12.61,0.42,1584.0,136.0,12.4,12.4,0.0,1637.0,0.0,0.328538,0.04875,

26,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,26.54,0.590378,23.8,23.8,0.0,506.0,0.0,23.64,23.64,1.978,507.0,95.73,23.23,23.23,3.174,618.0,156.9,23.4,23.4,0.0,706.0,0.0,0.308084,0.188817,
26,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,26.740000000000002,0.0,23.67,23.67,0.0,506.0,0.0,22.9,22.9,0.0,587.0,0.0,22.86,22.86,0.08,587.0,0.008044,22.9,22.9,0.0,587.0,0.0,0.399872,0.399872,
26,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.66,1.04,23.83,23.83,0.0,478.3,0.0,23.99,23.99,0.0,468.2,0.0,22.91,22.91,0.887543,600.0,53.06,22.5,22.5,0.0,584.0,0.0,0.403715,0.045194,

27,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,27.29,0.872428,19.25,19.25,0.0,363.8,0.0,19.33,19.33,2.021,370.6,101.6,20.44,20.44,0.92181,429.4,30.2,20.0,20.0,0.0,413.4,0.0,0.543863,0.27415,
27,CCA1:Root tip (1),LIV,,7508,11-Dec-2015,MFourFit,raw min-96.0 p(15-35),raw,min-96.0,,28.08,0.0,18.67,18.67,0.0,352.9,0.0,19.3,19.3,0.0,469.5,0.0,19.32,19.32,0.04,469.5,0.018964,19.3,19.3,0.0,469.5,0.0,0.547386,0.547386,
27,CCA1:Root tip (1),LIV,,7509,11-Dec-2015,Spectrum Resampling,raw min-96.0 p(15-35),raw,min-96.0,,26.51,1.35,19.85,19.85,0.0,334.8,0.0,19.72,19.72,0.0,322.8,0.0,20.82,20.82,3.182,400.4,87.28,19.2,19.2,0.0,345.9,0.0,0.562642,0.05826,

28,CCA1:Root tip (1),LIV,,7507,11-Dec-2015,FFT NLLS,raw min-96.0 p(15-35),raw,min-96.0,,29.04,0.650411,18.29,18.29,0.0,633.0,0.0,18.259999999999998,18.259999999999998,0.653484,647.0,87.98,18.26,18.26,0.92,778.0,8.512,17.8,17.8,0.0,773.0,0.0,0.268906,0.135981,
