
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID,
190.131,62.6157,23.9181,um,Spot,Position,1,1000000000,0,
150.939,144.132,27.8082,um,Spot,Position,1,1000000001,1,
168.683,105.89,28.9471,um,Spot,Position,1,1000000002,2,
214.642,114.559,24.2327,um,Spot,Position,1,1000000003,3,
185.241,277.653,29.3442,um,Spot,Position,1,1000000004,4,
187.465,209.86,35.3567,um,Spot,Position,1,1000000005,5,
210.89,115.404,23.8702,um,Spot,Position,1,1000000007,216,
217.642,119.011,24.562,um,Spot,Position,1,1000000008,247,
231.005,4.16941,27.3296,um,Spot,Position,1,1000000009,1306,
188.786,28.8407,21.7945,um,Spot,Position,1,1000000010,308,
182.308,30.6244,27.3296,um,Spot,Position,1,1000000011,339,
197.821,107.353,18.335,um,Spot,Position,1,1000000012,370,
168.423,152.422,21.7945,um,Spot,Position,1,1000000013,400,
180.552,100.402,31.4809,um,Spot,Position,1,1000000014,431,
201.784,137.714,24.562,um,Spot,Position,1,1000000015,462,
161.961,88.4656,24.562,um,Spot,Position,1,1000000016,493,
214.639,71.6117,38.3998,um,Spot,Position,1,1000000017,524,
206.53,79.7546,35.6323,um,Spot,Position,1,1000000018,555,
233.224,38.8743,27.3296,um,Spot,Position,1,1000000019,586,
146.621,183.288,21.7945,um,Spot,Position,1,1000000020,617,
175.724,214.781,16.9513,um,Spot,Position,1,1000000021,648,
199.695,155.753,16.2594,um,Spot,Position,1,1000000022,679,
210.131,198.878,21.7945,um,Spot,Position,1,1000000023,711,
144.127,264.096,21.1026,um,Spot,Position,1,1000000024,742,
139.745,283.153,23.1783,um,Spot,Position,1,1000000025,773,
130.903,238.931,23.1783,um,Spot,Position,1,1000000026,804,
155.025,285.811,23.1783,um,Spot,Position,1,1000000027,833,
177.1,245.311,23.8702,um,Spot,Position,1,1000000028,864,
177.322,240.081,15.5675,um,Spot,Position,1,1000000029,895,
129.117,282.366,20.4107,um,Spot,Position,1,1000000030,926,
147.804,272.792,23.8702,um,Spot,Position,1,1000000031,957,
129.857,245.518,27.3296,um,Spot,Position,1,1000000032,988,
165.95,247.001,25.2539,um,Spot,Position,1,1000000033,1021,
173.521,248.203,25.2539,um,Spot,Position,1,1000000034,1052,
161.284,233.018,29.4053,um,Spot,Position,1,1000000035,1083,
156.444,213.548,30.0972,um,Spot,Position,1,1000000036,1734,
158.788,160.395,20.8417,um,Spot,Position,1,1000000037,1122,
164.506,174.454,17.6432,um,Spot,Position,1,1000000038,1153,
