Intensity Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,1000000054,1000000055,1000000056,1000000057,1000000058,1000000059,1000000060,1000000061,1000000062,1000000063,1000000064,1000000065,1000000066,1000000067,1000000068,1000000069,1000000070,1000000071,1000000072,1000000073,1000000074,1000000075,1000000076,1000000077,1000000078,1000000079,1000000080,1000000081,1000000082,1000000083,1000000084,1000000085,1000000086,1000000087,1000000088,1000000089,1000000090,1000000091,1000000092,1000000093,1000000094,1000000095,1000000096,1000000097,1000000098,1000000099,1000000100,1000000101,1000000102,1000000103,1000000104,1000000105,1000000106,1000000107,1000000108,1000000109,1000000110,1000000111,1000000112,1000000113,1000000114,1000000115,1000000116,1000000117
0,214.449,224.403,294.413,244.638,378.732,239.536,718.999,274.817,214.238,307.726,197.028,234.939,484.634,692.096,335.525,825.721,256.555,195.507,689.056,491.818,472.217,594.378,744.435,627.844,561.109,474.488,463.707,579.565,852.443,286.109,741.377,325.230,850.604,642.826,439.242,234.541,583.070,875.896,332.333,888.942,836.903,199.005,342.996,526.844,856.766,364.942,786.399,449.608,872.051,431.336,178.234,396.468,214.016,568.382,595.460,467.334,210.799,316.153,286.622,563.289,205.357,293.184,721.539,801.111,397.114,406.296,560.829,607.624,642.289,328.397,491.510,193.137,176.920,265.763,344.828,324.980,312.922,225.815,297.406,170.534,163.091,255.984,303.305,313.532,176.290,570.422,457.056,252.888,287.444,277.626,278.549,472.156,290.261,549.819,677.455,603.155,182.050,640.495,571.276,480.890,789.099,892.456,221.434,187.546,384.529,599.965,621.653,416.356,405.716,424.740,164.307,658.148,248.903,481.752,421.665,271.481,186.491,596.954
3000,227.824,217.607,266.426,230.842,368.309,234.527,588.605,255.150,207.531,287.450,187.439,238.467,439.749,610.305,296.870,679.020,224.492,209.030,577.937,426.670,427.594,527.034,754.802,517.491,447.575,399.708,433.353,424.043,935.864,240.607,605.348,267.553,711.287,595.648,441.309,237.066,532.389,742.431,265.738,850.746,703.471,176.056,329.422,483.748,733.373,331.391,616.743,383.466,808.592,314.532,161.515,374.404,205.153,504.820,482.018,390.087,192.276,288.082,237.768,393.638,198.079,236.387,566.030,695.289,315.008,396.711,425.563,525.170,536.104,288.501,474.159,175.552,167.975,227.386,283.466,290.075,241.352,203.429,200.050,171.134,162.887,233.565,262.755,314.539,184.476,497.382,369.209,154.917,290.987,305.409,305.523,357.821,250.498,486.465,532.786,428.363,173.377,607.511,737.312,414.660,622.355,677.633,180.089,178.396,331.766,512.211,524.846,321.311,328.607,377.022,182.690,548.017,256.171,387.332,401.441,220.231,175.136,620.528
7000,234.346,214.854,239.746,227.522,415.676,216.717,508.858,238.024,207.982,278.381,194.847,235.448,381.063,602.625,246.210,553.490,205.970,175.051,532.517,392.193,344.605,469.413,643.868,384.421,394.491,325.098,361.136,391.023,1035.411,232.550,491.349,238.536,643.115,557.981,384.045,209.396,476.695,591.577,224.476,694.204,556.182,173.401,291.741,385.085,627.300,267.236,626.745,313.157,756.195,270.634,162.951,319.735,195.609,448.155,402.404,330.014,181.952,223.113,208.101,375.994,170.831,234.677,431.863,573.021,282.004,315.100,373.827,412.749,458.570,255.930,414.522,171.103,155.118,196.411,325.857,257.212,253.400,205.625,187.148,179.728,167.829,234.661,222.425,286.030,183.799,379.172,369.408,173.804,252.519,263.444,218.296,241.897,239.041,434.500,425.801,363.604,170.626,468.579,542.599,314.246,463.347,500.016,167.940,160.991,281.059,427.837,445.889,259.546,318.203,369.760,193.356,474.890,231.182,323.034,337.532,180.487,168.109,580.621
10000,216.761,210.682,241.164,217.747,376.589,193.557,405.743,223.025,203.536,238.534,186.045,199.509,328.786,512.456,227.213,429.410,208.750,188.047,441.058,313.430,313.025,426.329,487.102,321.623,354.316,264.457,286.493,338.915,512.374,195.060,410.043,204.669,575.811,433.426,324.198,187.701,501.132,470.627,205.947,539.305,461.069,172.405,233.496,340.940,490.738,234.926,476.526,266.966,583.277,231.151,155.470,297.860,174.123,363.762,300.649,300.197,178.386,206.599,184.791,291.906,161.835,211.139,337.555,442.067,216.177,294.588,307.286,309.962,371.421,217.231,364.128,162.129,152.370,204.309,306.248,220.105,209.911,181.474,196.601,161.162,161.436,204.492,203.780,259.965,176.235,449.161,353.422,171.180,235.823,222.540,142.635,214.812,206.448,429.937,318.772,280.719,158.519,316.610,354.339,259.106,365.697,446.972,160.808,149.561,282.863,347.102,349.739,244.085,281.071,258.167,171.807,387.234,204.796,316.674,381.805,178.374,153.465,564.979
13000,213.143,208.081,220.994,198.909,368.354,201.432,371.937,214.291,204.093,222.805,183.455,176.761,274.759,424.047,206.715,394.939,194.933,178.082,428.049,265.224,281.023,358.350,402.540,314.930,309.414,254.420,261.394,314.912,559.050,188.222,396.870,192.862,469.485,349.805,309.832,197.645,433.483,415.209,189.020,425.510,407.772,175.039,221.857,289.087,410.442,213.325,378.107,240.332,443.238,214.747,148.472,256.782,166.796,349.964,278.001,279.272,157.846,195.699,169.310,249.850,155.835,204.101,273.850,450.070,212.696,258.859,320.953,251.338,328.754,204.098,325.455,160.947,151.517,194.174,380.274,197.190,180.386,180.675,196.787,171.871,160.189,192.256,185.640,216.591,162.609,298.967,313.403,160.898,218.076,195.448,138.175,152.338,224.605,337.169,254.454,249.814,157.835,346.922,338.519,206.052,396.126,412.781,150.378,146.484,277.036,387.801,278.402,233.007,221.391,214.455,171.101,191.129,198.549,280.662,357.658,158.439,152.987,489.596
16000,211.117,192.313,219.653,199.622,354.791,192.279,352.546,200.240,201.494,225.366,183.637,170.401,272.241,372.589,212.746,353.343,193.472,183.277,394.437,284.306,278.792,369.682,417.348,280.119,265.267,255.829,226.390,280.879,519.879,181.594,373.248,190.532,445.872,264.888,274.369,177.379,411.603,370.781,186.292,389.806,364.663,160.293,206.866,276.044,387.074,211.185,374.968,210.799,396.465,222.812,149.138,233.872,164.807,344.847,263.825,254.534,166.251,205.771,170.645,231.377,149.780,214.626,255.978,372.840,206.641,243.988,290.197,223.948,330.478,209.437,296.829,164.407,164.624,188.020,382.510,212.562,190.263,185.952,193.132,173.821,152.423,194.016,171.912,215.544,176.965,319.387,276.000,164.496,218.599,207.133,141.122,145.020,209.540,334.557,245.068,247.209,152.453,268.833,304.361,208.940,344.019,363.503,151.005,154.096,243.047,332.659,255.340,218.469,236.820,202.965,173.389,190.111,203.207,251.001,273.059,161.795,155.092,449.758
19000,203.468,188.308,225.909,195.211,359.587,206.120,334.572,201.967,198.299,225.599,179.378,173.260,269.460,329.564,197.301,353.221,182.102,175.221,356.874,256.136,265.363,311.015,386.028,257.478,277.070,269.138,199.119,255.453,409.238,173.408,339.316,191.326,422.811,243.130,254.130,167.993,418.724,359.828,171.980,374.438,369.978,155.907,205.919,285.964,365.317,197.006,368.110,206.280,329.030,197.924,145.526,238.989,164.728,346.064,254.614,231.855,162.044,190.127,181.804,237.749,158.298,187.175,261.437,382.224,198.704,237.307,269.587,236.321,288.689,203.055,291.747,166.201,153.763,180.912,356.699,204.809,203.760,180.808,196.624,171.405,160.592,185.468,175.475,208.137,171.944,313.513,277.347,166.507,196.515,194.595,139.032,143.891,207.419,317.790,213.516,222.451,155.812,220.014,276.585,203.798,321.463,328.962,149.970,150.296,244.607,293.902,235.185,216.539,205.908,182.105,166.280,180.885,204.931,290.056,386.391,174.055,151.456,404.730
22000,200.857,191.219,212.742,187.639,347.728,191.031,311.023,199.297,203.059,219.727,185.753,175.266,263.074,326.114,186.616,335.260,191.403,172.527,348.148,244.648,254.952,313.847,351.984,267.776,281.757,230.633,211.356,246.665,442.900,186.449,342.023,181.846,411.797,244.321,273.982,175.214,399.477,314.923,181.403,345.496,365.698,166.781,211.995,244.521,329.382,212.211,349.911,211.025,338.948,193.540,152.579,229.226,167.967,311.954,273.091,213.392,162.447,192.699,190.949,249.912,162.869,194.341,243.963,343.195,183.031,233.191,256.236,225.942,289.873,200.120,311.615,164.697,150.098,182.648,387.193,213.101,193.911,175.764,179.140,165.794,159.822,191.925,185.823,215.755,168.525,320.514,308.044,168.463,207.095,209.570,140.866,145.767,211.852,343.398,225.266,222.959,154.204,190.652,233.479,217.787,316.750,327.192,156.678,149.199,245.606,279.991,216.760,236.223,235.167,175.156,171.973,179.950,186.163,258.593,285.837,161.772,158.791,441.640
25000,202.749,197.148,219.694,191.245,326.619,192.700,340.522,212.221,196.227,211.579,178.562,165.823,281.431,311.422,181.154,314.965,198.230,173.574,313.585,240.447,257.877,290.265,394.136,249.021,271.894,241.399,196.474,248.558,436.830,184.653,311.781,177.866,398.003,240.070,269.906,162.178,351.741,302.953,183.746,335.724,340.768,164.829,196.942,257.742,329.558,194.748,341.910,196.346,300.829,193.442,148.521,210.917,172.305,359.192,249.318,228.166,165.509,190.554,175.891,276.929,153.345,197.640,233.827,337.233,205.044,204.807,265.462,214.573,292.617,196.722,298.796,155.639,156.407,194.638,452.294,210.379,191.202,180.979,188.328,168.943,160.542,188.497,169.114,210.233,153.890,288.000,300.442,159.987,202.051,209.548,135.453,145.486,193.197,282.577,211.146,220.553,153.056,205.150,217.157,204.614,297.237,300.812,149.365,147.083,240.859,271.452,234.452,203.395,214.344,184.212,183.247,182.896,189.232,282.674,369.995,160.129,158.151,426.254
