
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID,
110.106,168.29,11.7946,um,Spot,Position,1,1000000000,0,
160.326,145.095,13.6466,um,Spot,Position,1,1000000001,1,
135.815,148.518,13.3467,um,Spot,Position,1,1000000002,2,
109.945,145.652,16.6173,um,Spot,Position,1,1000000003,3,
127.184,118.318,17.9229,um,Spot,Position,1,1000000004,4,
182.802,136.052,14.2196,um,Spot,Position,1,1000000005,5,
189.83,119.662,14.8027,um,Spot,Position,1,1000000006,6,
63.0865,210.793,15.046,um,Spot,Position,1,1000000007,7,
62.6182,223.098,15.5344,um,Spot,Position,1,1000000008,8,
81.9855,263.126,17.2253,um,Spot,Position,1,1000000009,9,
74.1779,177.24,20.5795,um,Spot,Position,1,1000000010,10,
103.31,202.961,14.7576,um,Spot,Position,1,1000000011,11,
128.785,197.277,17.0727,um,Spot,Position,1,1000000012,12,
106.782,262.897,18.3349,um,Spot,Position,1,1000000013,13,
124.025,214.451,19.4672,um,Spot,Position,1,1000000014,14,
154.954,187.469,21.376,um,Spot,Position,1,1000000015,15,
64.7278,273.468,17.7861,um,Spot,Position,1,1000000016,16,
85.7682,293.546,21.8837,um,Spot,Position,1,1000000017,17,
171.525,172.163,30.6039,um,Spot,Position,1,1000000018,18,
180.747,159.417,22.8558,um,Spot,Position,1,1000000019,19,
45.6471,260.519,29.2909,um,Spot,Position,1,1000000020,20,
50.8379,319.554,23.5651,um,Spot,Position,1,1000000021,21,
59.6524,332.273,24.4358,um,Spot,Position,1,1000000022,22,
93.958,277.51,23.1179,um,Spot,Position,1,1000000023,23,
112.273,270.418,31.4811,um,Spot,Position,1,1000000024,24,
5.52016,156.007,35.5939,um,Spot,Position,1,1000000025,25,
202.465,153.042,38.3704,um,Spot,Position,1,1000000026,26,
40.886,254.101,38.5433,um,Spot,Position,1,1000000027,27,
110.751,297.148,33.2265,um,Spot,Position,1,1000000028,28,
111.298,306.57,38.1329,um,Spot,Position,1,1000000029,29,
322.506,190.587,48.3333,um,Spot,Position,1,1000000030,30,
130.407,287.419,50.8538,um,Spot,Position,1,1000000031,31,
145.804,162.027,16.2594,um,Spot,Position,1,1000000032,11217,
206.857,142.183,23.5579,um,Spot,Position,1,1000000033,7418,
211.695,145.642,28.9172,um,Spot,Position,1,1000000034,7482,
52.9062,271.862,18.335,um,Spot,Position,1,1000000035,7730,
66.8425,295.09,21.1545,um,Spot,Position,1,1000000036,7723,
113.878,280.98,39.7836,um,Spot,Position,1,1000000037,7737,
1.433,165.798,46.0106,um,Spot,Position,1,1000000038,7757,
101.595,240.519,19.0269,um,Spot,Position,1,1000000039,7749,
59.2053,305.469,20.6171,um,Spot,Position,1,1000000040,7714,
125.295,173.49,16.2594,um,Spot,Position,1,1000000041,7762,
95.9026,272.258,20.196,um,Spot,Position,1,1000000042,7567,
130.415,215.523,29.7456,um,Spot,Position,1,1000000043,7555,
91.3406,255.667,16.2594,um,Spot,Position,1,1000000044,9329,
52.7899,214.945,32.8647,um,Spot,Position,1,1000000045,7590,
120.089,268.021,36.3241,um,Spot,Position,1,1000000046,7774,
47.7348,160.216,28.7133,um,Spot,Position,1,1000000047,12539,
1.53028,182.216,41.8592,um,Spot,Position,1,1000000048,12571,
9.47992,202.512,47.3943,um,Spot,Position,1,1000000049,12554,
48.097,308.431,30.0971,um,Spot,Position,1,1000000050,7801,
90.5936,184.007,11.4162,um,Spot,Position,1,1000000051,7821,
117.182,122.095,19.0269,um,Spot,Position,1,1000000052,7838,
123.502,235.876,33.5784,um,Spot,Position,1,1000000053,12582,
93.7509,310.676,32.1217,um,Spot,Position,1,1000000054,12601,
149.794,210.173,29.745,um,Spot,Position,1,1000000055,12575,
95.1014,241.589,16.2594,um,Spot,Position,1,1000000056,9613,
141.132,121.992,16.9513,um,Spot,Position,1,1000000057,12645,
128.031,266.365,50.1619,um,Spot,Position,1,1000000058,12668,
155.065,113.414,16.9513,um,Spot,Position,1,1000000059,12691,
3.95771,174.714,43.9349,um,Spot,Position,1,1000000060,12621,
51.8956,265.719,19.7188,um,Spot,Position,1,1000000061,9061,
97.7007,259.466,17.6431,um,Spot,Position,1,1000000062,9438,
