
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID,
111.851,80.7893,25.2608,um,Spot,Position,1,1000000000,0,
113.274,191.362,22.0598,um,Spot,Position,1,1000000001,1,
117.915,127.912,18.6089,um,Spot,Position,1,1000000002,2,
122.758,143.006,30.9505,um,Spot,Position,1,1000000003,3,
128.207,35.7124,21.4998,um,Spot,Position,1,1000000004,4,
128.599,169.765,24.3819,um,Spot,Position,1,1000000005,5,
128.778,210.542,19.0082,um,Spot,Position,1,1000000006,6,
131.654,228.652,26.5453,um,Spot,Position,1,1000000007,7,
138.463,75.8662,11.1804,um,Spot,Position,1,1000000008,8,
138.827,176.496,11.8094,um,Spot,Position,1,1000000009,9,
138.44,269.594,23.7071,um,Spot,Position,1,1000000010,10,
158.493,191.269,11.1861,um,Spot,Position,1,1000000011,11,
163.477,125.855,18.3124,um,Spot,Position,1,1000000012,12,
165.168,71.3157,19.9116,um,Spot,Position,1,1000000013,13,
173.233,42.8486,29.468,um,Spot,Position,1,1000000014,14,
173.672,320.519,22.5237,um,Spot,Position,1,1000000015,15,
182.619,271.829,14.279,um,Spot,Position,1,1000000016,16,
184.874,314.892,19.7018,um,Spot,Position,1,1000000017,17,
187.263,330.725,18.8617,um,Spot,Position,1,1000000018,18,
188.068,194.973,23.1728,um,Spot,Position,1,1000000019,19,
190.775,353.901,21.0385,um,Spot,Position,1,1000000020,20,
194.577,219.16,13.6049,um,Spot,Position,1,1000000021,21,
203.983,185.161,26.6658,um,Spot,Position,1,1000000022,22,
210.799,311.808,13.8046,um,Spot,Position,1,1000000023,23,
211.279,343.783,15.9345,um,Spot,Position,1,1000000024,24,
213.73,291.033,17.0775,um,Spot,Position,1,1000000025,25,
221.895,349.276,15.9934,um,Spot,Position,1,1000000026,26,
227.848,297.997,25.7976,um,Spot,Position,1,1000000027,27,
233.934,337.771,20.5579,um,Spot,Position,1,1000000028,28,
248.069,348.362,20.3549,um,Spot,Position,1,1000000029,29,
116.083,44.2743,28.7133,um,Spot,Position,1,1000000030,5202,
109.961,36.7931,21.1026,um,Spot,Position,1,1000000031,5140,
187.174,339.98,34.9403,um,Spot,Position,1,1000000032,7338,
126.519,156.989,26.6377,um,Spot,Position,1,1000000033,4722,
129.539,104.146,12.7999,um,Spot,Position,1,1000000034,4896,
241.919,328.591,21.7945,um,Spot,Position,1,1000000035,7340,
215.278,331.453,22.4864,um,Spot,Position,1,1000000036,7343,
156.101,193.205,28.0215,um,Spot,Position,1,1000000037,7347,
120.264,172.128,21.1026,um,Spot,Position,1,1000000038,4500,
143.041,208.34,12.7999,um,Spot,Position,1,1000000039,7329,
198.033,240.446,26.6377,um,Spot,Position,1,1000000040,7353,
175.832,301.803,23.8701,um,Spot,Position,1,1000000041,7370,
140.915,224.323,30.0971,um,Spot,Position,1,1000000042,7308,
204.88,245.017,17.6431,um,Spot,Position,1,1000000043,5523,
151.934,289.065,25.2539,um,Spot,Position,1,1000000044,7388,
185.427,159.088,8.6486,um,Spot,Position,1,1000000045,6477,
235.732,278.871,23.1782,um,Spot,Position,1,1000000046,7160,
170.356,331.931,27.3296,um,Spot,Position,1,1000000047,7535,
191.304,251.628,21.7945,um,Spot,Position,1,1000000048,7575,
203.657,162.464,18.335,um,Spot,Position,1,1000000049,5544,
193.359,167.526,14.8756,um,Spot,Position,1,1000000050,5710,
166.041,279.42,16.9513,um,Spot,Position,1,1000000051,7756,
122.188,93.3691,18.335,um,Spot,Position,1,1000000052,4776,
131.56,90.2592,19.0269,um,Spot,Position,1,1000000053,4975,
214.229,226.444,20.4107,um,Spot,Position,1,1000000054,5283,
206.181,212.354,22.4864,um,Spot,Position,1,1000000055,5403,
167.317,243.491,12.7999,um,Spot,Position,1,1000000056,5757,
135.87,189.305,16.2594,um,Spot,Position,1,1000000057,5877,
147.714,155.561,10.0324,um,Spot,Position,1,1000000058,5997,
154.771,137.084,13.4918,um,Spot,Position,1,1000000059,6117,
167.322,143.642,15.5675,um,Spot,Position,1,1000000060,6237,
