
Intensity Mean
 ==================== 
Time [ms],1000000000,1000000001,1000000002,1000000003,1000000004,1000000005,1000000006,1000000007,1000000008,1000000009,1000000010,1000000011,1000000012,1000000013,1000000014,1000000015,1000000016,1000000017,1000000018,1000000019,1000000020,1000000021,1000000022,1000000023,1000000024,1000000025,1000000026,1000000027,1000000028,1000000029,1000000030,1000000031,1000000032,1000000033,1000000034,1000000035,1000000036,1000000037,1000000038,1000000039,1000000040,1000000041,1000000042,1000000043,1000000044,1000000045,1000000046,1000000047,1000000048,1000000049,1000000050,1000000051,1000000052,1000000053,1000000054,1000000055,1000000056,1000000057,1000000058,1000000059,1000000060,1000000061,1000000062,1000000063,1000000064,1000000065,1000000066,1000000067,1000000068,1000000069,1000000070,1000000071,1000000072,1000000073,1000000074,1000000075,1000000076,1000000077,1000000078,1000000079,1000000080,1000000081,1000000082,1000000083,1000000084,1000000085,1000000086,1000000087,1000000088,1000000089,1000000090,1000000091,1000000092,1000000093,1000000094,1000000095,1000000096,1000000097,1000000098,1000000099,1000000100,1000000101,1000000102,1000000103,1000000104,1000000105,1000000106,1000000107,1000000108,1000000109,
0,655.139,607.923,539.718,500.744,626.540,491.246,548.750,616.412,556.729,449.671,265.799,404.386,677.712,705.563,609.094,442.720,734.868,660.070,155.494,411.602,243.763,447.276,360.736,494.779,322.333,500.793,132.427,161.995,208.447,279.278,833.115,142.014,639.944,242.125,236.148,640.314,322.313,129.761,149.746,422.793,479.385,243.762,576.012,140.115,656.443,188.896,194.396,184.568,229.113,210.764,201.459,857.794,405.237,136.046,197.539,163.451,707.078,364.304,213.877,299.452,445.425,570.732,571.175,553.584,534.913,670.878,1012.189,592.030,196.646,246.588,201.614,555.507,353.719,264.277,464.437,471.835,589.418,534.026,403.586,720.201,548.798,644.140,669.109,689.927,692.417,859.551,468.861,582.342,516.322,572.966,494.879,633.021,513.314,944.788,196.441,206.345,180.943,356.908,421.334,512.998,563.645,739.997,479.147,230.455,474.180,180.149,521.077,573.714,125.726,143.130,
1000,601.215,551.434,517.065,446.497,603.631,453.141,429.934,598.742,360.945,323.654,267.588,305.947,511.198,557.767,488.709,436.559,589.834,574.992,156.357,316.985,233.696,427.928,332.796,454.240,287.147,563.230,129.424,159.537,193.180,260.984,828.085,184.722,670.457,234.175,224.028,593.508,310.463,137.137,205.531,314.883,430.104,244.465,561.793,139.481,571.968,228.388,191.925,258.405,229.890,219.435,192.024,656.908,400.947,134.417,182.386,123.149,505.899,363.182,180.527,321.785,457.189,506.090,475.211,483.375,486.937,583.128,859.661,546.765,183.123,244.168,202.742,417.474,459.768,232.320,401.825,421.135,507.235,461.602,359.558,515.194,487.557,515.138,541.567,517.151,530.160,644.373,374.843,469.212,436.014,513.387,530.643,536.207,472.525,941.433,184.830,269.901,268.704,343.887,358.181,433.789,508.909,738.591,344.661,205.888,426.681,170.365,507.313,544.667,120.612,136.499,
2000,609.794,501.348,506.036,415.319,637.584,436.873,448.608,615.597,330.910,355.239,246.902,343.758,464.885,649.616,446.989,353.630,616.169,576.889,140.015,278.997,188.646,455.855,338.493,435.100,217.956,515.822,126.650,151.207,173.751,232.921,924.360,155.036,569.984,241.946,206.664,610.252,301.134,114.876,258.987,374.638,421.067,212.967,642.925,132.216,558.032,150.882,183.554,114.733,206.059,211.022,180.457,530.375,476.582,122.269,214.673,109.814,560.390,387.985,171.009,314.386,455.391,559.476,594.965,445.112,462.303,674.351,764.504,626.164,191.796,228.301,171.329,406.948,414.254,211.898,382.864,298.928,568.921,464.001,341.489,525.886,505.400,611.520,498.363,499.329,526.751,542.156,347.750,484.686,355.074,470.050,441.200,496.930,438.270,1106.433,197.254,235.257,146.913,350.636,352.710,482.684,477.602,623.345,362.035,197.532,423.149,158.461,463.692,569.936,121.695,128.476,
3000,546.636,488.153,480.468,345.913,466.327,378.437,402.216,585.035,387.575,345.851,221.925,351.728,416.571,641.246,426.874,302.184,555.704,581.985,142.035,277.391,190.395,393.824,291.294,388.425,199.919,426.733,128.734,160.535,165.394,184.155,914.997,133.752,532.485,246.904,172.826,571.387,321.278,119.953,226.342,326.686,436.538,230.436,651.289,127.642,475.470,156.769,182.436,116.304,194.131,221.917,170.170,426.030,471.829,123.719,177.021,115.999,502.932,245.314,150.108,313.751,361.103,390.366,516.678,394.895,494.017,626.565,663.985,487.326,172.479,243.560,175.270,334.016,362.656,230.100,324.758,263.313,617.792,500.373,349.306,455.717,483.770,542.263,478.125,500.047,516.066,492.744,371.421,458.832,402.924,388.343,382.103,448.349,454.585,942.595,179.506,245.530,142.708,343.867,294.776,451.425,448.121,604.207,362.835,208.263,330.558,164.778,417.721,564.146,119.500,133.872,
4000,506.062,361.046,473.830,262.325,441.947,334.230,405.030,512.949,337.239,263.317,199.309,301.824,407.165,620.034,400.341,229.433,457.597,463.056,144.919,265.697,162.666,382.094,273.209,368.255,171.225,320.225,122.062,148.931,155.706,166.779,997.109,130.885,415.542,257.581,152.672,533.742,286.225,119.276,204.509,285.402,399.403,195.346,603.666,130.493,393.298,138.438,180.487,115.177,180.018,207.545,172.261,422.127,529.610,118.288,185.811,114.364,424.356,214.533,135.607,204.887,316.176,387.206,421.270,360.320,443.423,433.241,610.854,427.863,163.351,201.214,157.721,340.073,385.380,238.412,272.612,274.494,507.343,409.823,306.853,399.426,369.057,488.518,438.069,503.682,470.886,432.560,295.823,364.015,393.994,311.334,353.182,404.580,407.003,804.057,183.088,227.048,140.833,353.134,282.918,381.408,388.334,499.676,340.317,193.374,322.740,162.243,326.310,457.907,115.269,125.554,
5000,522.425,343.471,418.311,250.084,419.497,344.136,320.225,455.773,325.601,251.719,190.718,277.174,333.363,622.880,306.701,241.437,405.585,389.296,145.673,253.291,162.680,277.827,273.550,317.295,151.093,313.772,121.368,145.345,150.597,160.868,960.907,125.414,372.648,250.944,155.818,463.540,292.283,120.268,199.161,237.833,348.259,166.490,481.139,122.420,417.647,133.753,160.827,116.039,213.428,222.385,166.973,411.288,520.004,116.762,170.691,116.139,391.172,208.658,125.226,182.162,281.503,321.520,374.584,359.554,430.089,298.275,465.040,429.797,163.662,182.686,152.157,315.656,280.419,219.293,244.328,217.266,471.901,347.260,251.987,409.647,343.378,432.374,426.678,496.771,543.346,471.475,299.143,338.290,356.793,299.003,332.210,399.460,388.328,614.837,169.664,200.105,127.461,331.626,258.429,328.954,346.121,437.162,320.254,171.132,272.623,172.302,295.969,403.670,117.011,131.082,
6000,425.362,282.841,348.412,234.822,435.150,300.121,331.546,417.507,263.823,233.437,180.529,223.983,321.128,527.978,326.460,217.683,369.083,315.648,140.789,235.553,158.675,244.477,235.552,255.802,150.158,267.904,129.592,150.983,150.289,157.630,999.382,127.475,323.299,228.884,159.257,386.429,301.563,119.312,193.965,231.614,311.994,171.975,349.817,129.014,317.626,139.984,155.570,116.496,200.138,215.487,163.423,439.674,390.254,116.575,182.691,109.144,331.569,188.201,127.281,182.231,240.845,312.168,312.079,315.872,366.135,245.649,443.691,410.919,158.457,168.592,172.359,277.155,262.916,197.998,211.943,220.233,401.190,312.075,262.718,373.397,277.309,375.827,397.001,425.169,461.299,442.403,268.482,313.527,309.834,259.086,312.883,308.128,360.367,433.894,164.479,196.290,129.404,339.495,257.413,293.965,299.702,381.747,301.223,162.176,256.055,162.420,282.851,334.942,118.670,125.450,
7000,339.903,313.524,329.239,206.365,377.592,280.794,278.496,344.656,274.043,201.524,185.777,265.911,329.023,572.413,294.552,191.879,391.192,355.357,138.990,222.708,167.477,248.517,326.009,227.301,147.560,262.985,123.082,143.711,139.715,143.983,975.828,129.427,325.342,230.051,141.239,443.426,270.730,119.826,195.686,195.032,314.154,223.343,322.930,123.951,342.997,135.680,154.896,119.505,181.387,201.872,196.741,380.610,408.417,117.058,187.079,111.022,304.490,215.362,114.384,174.255,207.356,334.956,302.227,295.436,334.264,244.871,412.977,361.855,142.891,166.415,152.514,309.889,213.571,171.831,225.105,208.822,450.408,371.086,267.844,367.464,276.872,460.863,366.088,368.264,432.703,488.426,268.747,282.558,298.185,262.414,302.893,310.741,336.289,421.730,169.967,174.653,125.054,308.847,234.033,269.181,300.421,329.005,282.408,160.933,248.907,157.250,239.284,315.122,119.831,121.727,
8000,354.898,268.321,283.608,231.824,394.041,265.651,288.344,385.543,255.671,224.873,189.564,281.067,318.717,606.384,273.557,201.830,395.823,304.016,144.471,239.261,155.104,251.057,680.216,225.644,150.103,243.680,130.469,149.672,140.873,146.033,1011.259,129.385,317.722,224.394,151.358,433.563,260.029,121.683,190.450,186.247,357.163,206.419,304.071,123.622,329.699,130.778,144.417,123.004,182.525,224.897,175.378,400.932,364.611,118.105,175.488,113.001,292.908,221.886,118.038,168.404,193.552,324.585,299.547,281.512,291.850,203.035,385.402,336.368,154.406,166.544,145.764,331.427,203.945,184.485,207.443,218.764,433.361,342.088,250.120,294.048,322.292,423.844,325.110,356.001,378.751,510.537,261.980,291.651,305.549,266.551,281.991,285.711,348.492,389.614,171.003,165.996,130.266,317.147,254.471,253.600,268.067,294.748,250.608,151.236,231.488,166.345,251.038,297.392,119.309,128.031,
9000,363.720,269.715,311.735,201.690,421.584,242.380,279.378,362.112,260.088,217.945,186.881,253.813,317.657,644.441,254.733,187.990,385.477,299.735,139.128,213.669,158.135,247.407,580.197,209.029,139.966,236.198,124.290,147.082,143.386,139.419,958.139,121.905,260.629,251.291,138.959,433.613,336.696,118.221,181.418,207.584,279.671,163.908,239.120,123.720,367.244,134.647,144.330,119.674,185.123,177.483,166.886,318.377,336.271,117.253,192.536,110.903,287.629,208.357,113.509,172.602,222.754,349.732,263.399,299.698,283.238,178.960,388.491,404.553,145.426,160.640,154.587,308.939,184.783,170.546,204.546,219.970,390.163,334.265,235.738,306.557,241.804,352.939,269.451,322.655,356.078,561.169,268.707,311.844,281.258,258.132,273.018,283.725,351.780,342.203,169.899,164.987,128.064,306.084,200.916,249.124,287.291,304.818,275.574,153.926,240.411,165.181,221.022,253.986,113.113,122.408,
10000,365.404,266.393,286.336,206.687,353.363,241.290,310.224,299.349,289.412,215.598,179.025,246.458,337.251,626.863,277.160,191.338,376.753,286.292,150.486,234.760,155.848,286.482,781.288,211.588,153.591,236.700,126.984,158.949,139.695,140.631,1044.367,128.520,266.606,231.980,151.707,407.783,331.087,121.383,200.147,186.011,268.157,209.892,260.244,125.427,301.641,142.080,139.703,123.888,161.595,183.383,181.572,283.600,360.770,119.154,198.931,112.070,273.881,213.457,116.033,163.287,198.143,331.834,285.985,274.000,250.918,187.777,390.199,300.783,146.695,158.058,159.158,453.916,187.556,153.819,223.822,228.996,382.134,334.998,247.022,235.439,291.616,380.673,253.215,274.462,290.716,512.886,216.540,280.770,270.296,238.766,269.139,286.822,304.813,414.279,164.765,179.411,144.071,296.876,227.651,237.371,264.822,288.306,303.432,149.483,257.867,153.370,228.511,253.105,119.785,122.869,
11000,311.877,289.276,283.812,194.339,326.932,233.294,285.896,321.892,257.194,216.493,174.713,223.515,323.281,643.972,258.079,183.319,357.970,283.046,137.426,221.192,160.542,312.626,507.917,203.944,147.613,224.235,125.043,142.158,148.365,133.882,1070.527,122.059,230.199,245.907,143.720,379.673,292.695,121.041,193.708,184.667,285.246,175.088,254.746,119.847,294.635,131.291,138.284,117.882,187.999,177.684,181.321,294.247,359.325,117.332,181.617,111.240,308.447,205.888,114.018,164.577,192.669,328.640,310.533,302.474,263.441,190.141,395.458,274.656,146.012,159.792,158.793,350.120,170.197,155.394,210.288,211.882,354.031,323.049,226.590,204.938,240.378,297.858,233.945,267.997,300.574,490.577,225.223,299.845,305.633,223.503,325.752,283.394,252.574,432.113,159.805,167.151,131.930,273.741,231.070,229.985,258.117,315.539,280.769,155.500,230.124,165.151,235.711,232.715,119.937,123.178,
